region_id,node_id,time_period_id,node_cycle_time,region_cycle_time,ratio,single_double_triple,cycle_time_independent
0000_N00/011,N00/011,AM,60,60,1.0,1,False
0000_N00/011,N00/011,OP,60,60,1.0,1,False
0000_N00/011,N00/011,PM,60,60,1.0,1,False
0000_N01/097,N01/097,AM,80,80,1.0,1,False
0000_N01/097,N01/097,OP,80,80,1.0,1,False
0000_N01/097,N01/097,PM,80,80,1.0,1,False
0000_N01/239,N01/239,AM,60,60,1.0,1,False
0000_N01/239,N01/239,OP,60,60,1.0,1,False
0000_N01/239,N01/239,PM,60,60,1.0,1,False
0000_N01/388,N01/388,AM,120,120,1.0,1,False
0000_N01/388,N01/388,OP,120,120,1.0,1,False
0000_N01/388,N01/388,PM,120,120,1.0,1,False
0000_N01/463,N01/463,AM,52,52,1.0,1,False
0000_N01/463,N01/463,OP,52,52,1.0,1,False
0000_N01/463,N01/463,PM,52,52,1.0,1,False
0000_N02/015,N02/015,AM,88,88,1.0,1,False
0000_N02/015,N02/015,OP,88,88,1.0,1,False
0000_N02/015,N02/015,PM,88,88,1.0,1,False
0000_N02/024,N02/024,AM,60,60,1.0,1,False
0000_N02/024,N02/024,OP,60,60,1.0,1,False
0000_N02/024,N02/024,PM,60,60,1.0,1,False
0000_N02/027,N02/027,AM,60,60,1.0,1,False
0000_N02/027,N02/027,OP,60,60,1.0,1,False
0000_N02/027,N02/027,PM,60,60,1.0,1,False
0000_N02/033,N02/033,AM,120,120,1.0,1,False
0000_N02/033,N02/033,OP,120,120,1.0,1,False
0000_N02/033,N02/033,PM,120,120,1.0,1,False
0000_N02/111,N02/111,AM,60,60,1.0,1,False
0000_N02/111,N02/111,OP,60,60,1.0,1,False
0000_N02/111,N02/111,PM,60,60,1.0,1,False
0000_N02/174,N02/174,AM,60,60,1.0,1,False
0000_N02/174,N02/174,OP,60,60,1.0,1,False
0000_N02/174,N02/174,PM,60,60,1.0,1,False
0000_N02/311,N02/311,AM,120,120,1.0,1,False
0000_N02/311,N02/311,OP,120,120,1.0,1,False
0000_N02/311,N02/311,PM,120,120,1.0,1,False
0000_N03/012,N03/012,AM,104,104,1.0,1,False
0000_N03/012,N03/012,OP,88,88,1.0,1,False
0000_N03/012,N03/012,PM,96,96,1.0,1,False
0000_N03/016,N03/016,AM,120,120,1.0,1,False
0000_N03/016,N03/016,OP,120,120,1.0,1,False
0000_N03/016,N03/016,PM,120,120,1.0,1,False
0000_N03/035,N03/035,AM,88,88,1.0,1,False
0000_N03/035,N03/035,OP,88,88,1.0,1,False
0000_N03/035,N03/035,PM,88,88,1.0,1,False
0000_N03/050,N03/050,AM,88,88,1.0,1,False
0000_N03/050,N03/050,OP,88,88,1.0,1,False
0000_N03/050,N03/050,PM,88,88,1.0,1,False
0000_N03/067,N03/067,AM,60,60,1.0,1,False
0000_N03/067,N03/067,OP,60,60,1.0,1,False
0000_N03/067,N03/067,PM,60,60,1.0,1,False
0000_N03/075,N03/075,AM,44,44,1.0,1,False
0000_N03/075,N03/075,OP,44,44,1.0,1,False
0000_N03/075,N03/075,PM,44,44,1.0,1,False
0000_N03/125,N03/125,AM,104,104,1.0,1,False
0000_N03/125,N03/125,OP,88,88,1.0,1,False
0000_N03/125,N03/125,PM,96,96,1.0,1,False
0000_N03/155,N03/155,AM,44,44,1.0,1,False
0000_N03/155,N03/155,OP,44,44,1.0,1,False
0000_N03/155,N03/155,PM,44,44,1.0,1,False
0000_N04/028,N04/028,AM,120,120,1.0,1,False
0000_N04/028,N04/028,OP,120,120,1.0,1,False
0000_N04/028,N04/028,PM,120,120,1.0,1,False
0000_N04/117,N04/117,AM,60,60,1.0,1,False
0000_N04/117,N04/117,OP,60,60,1.0,1,False
0000_N04/117,N04/117,PM,60,60,1.0,1,False
0000_N04/118,N04/118,AM,120,120,1.0,1,False
0000_N04/118,N04/118,OP,120,120,1.0,1,False
0000_N04/118,N04/118,PM,120,120,1.0,1,False
0000_N04/119,N04/119,AM,120,120,1.0,1,False
0000_N04/119,N04/119,OP,120,120,1.0,1,False
0000_N04/119,N04/119,PM,120,120,1.0,1,False
0000_N04/120,N04/120,AM,60,60,1.0,1,False
0000_N04/120,N04/120,OP,60,60,1.0,1,False
0000_N04/120,N04/120,PM,60,60,1.0,1,False
0000_N04/121,N04/121,AM,60,60,1.0,1,False
0000_N04/121,N04/121,OP,60,60,1.0,1,False
0000_N04/121,N04/121,PM,60,60,1.0,1,False
0000_N04/122,N04/122,AM,120,120,1.0,1,False
0000_N04/122,N04/122,OP,120,120,1.0,1,False
0000_N04/122,N04/122,PM,120,120,1.0,1,False
0000_N04/123,N04/123,AM,120,120,1.0,1,False
0000_N04/123,N04/123,OP,120,120,1.0,1,False
0000_N04/123,N04/123,PM,120,120,1.0,1,False
0000_N04/124,N04/124,AM,120,120,1.0,1,False
0000_N04/124,N04/124,OP,120,120,1.0,1,False
0000_N04/124,N04/124,PM,120,120,1.0,1,False
0000_N04/177,N04/177,AM,120,120,1.0,1,False
0000_N04/177,N04/177,OP,120,120,1.0,1,False
0000_N04/177,N04/177,PM,120,120,1.0,1,False
0000_N05/296,N05/296,AM,120,120,1.0,1,False
0000_N05/296,N05/296,OP,120,120,1.0,1,False
0000_N05/296,N05/296,PM,120,120,1.0,1,False
0000_N06/212,N06/212,AM,120,120,1.0,1,False
0000_N06/212,N06/212,OP,120,120,1.0,1,False
0000_N06/212,N06/212,PM,120,120,1.0,1,False
0000_N07/105,N07/105,AM,60,60,1.0,1,False
0000_N07/105,N07/105,OP,60,60,1.0,1,False
0000_N07/105,N07/105,PM,60,60,1.0,1,False
0000_N07/241,N07/241,AM,60,60,1.0,1,False
0000_N07/241,N07/241,OP,60,60,1.0,1,False
0000_N07/241,N07/241,PM,60,60,1.0,1,False
0000_N08/004,N08/004,AM,96,96,1.0,1,False
0000_N08/004,N08/004,OP,96,96,1.0,1,False
0000_N08/004,N08/004,PM,96,96,1.0,1,False
0000_N08/042,N08/042,AM,60,60,1.0,1,False
0000_N08/042,N08/042,OP,60,60,1.0,1,False
0000_N08/042,N08/042,PM,60,60,1.0,1,False
0000_N08/248,N08/248,AM,120,120,1.0,1,False
0000_N08/248,N08/248,OP,120,120,1.0,1,False
0000_N08/248,N08/248,PM,120,120,1.0,1,False
0000_N08/389,N08/389,AM,120,120,1.0,1,False
0000_N08/389,N08/389,OP,120,120,1.0,1,False
0000_N08/389,N08/389,PM,120,120,1.0,1,False
0000_N08/390,N08/390,AM,120,120,1.0,1,False
0000_N08/390,N08/390,OP,120,120,1.0,1,False
0000_N08/390,N08/390,PM,120,120,1.0,1,False
0000_N09/106,N09/106,AM,60,60,1.0,1,False
0000_N09/106,N09/106,OP,60,60,1.0,1,False
0000_N09/106,N09/106,PM,60,60,1.0,1,False
0000_N09/329,N09/329,AM,60,60,1.0,1,False
0000_N09/329,N09/329,OP,60,60,1.0,1,False
0000_N09/329,N09/329,PM,60,60,1.0,1,False
0000_N09/371,N09/371,AM,60,60,1.0,1,False
0000_N09/371,N09/371,OP,60,60,1.0,1,False
0000_N09/371,N09/371,PM,60,60,1.0,1,False
0000_N09/376,N09/376,AM,60,60,1.0,1,False
0000_N09/376,N09/376,OP,60,60,1.0,1,False
0000_N09/376,N09/376,PM,60,60,1.0,1,False
0000_N10/018,N10/018,AM,60,60,1.0,1,False
0000_N10/018,N10/018,OP,60,60,1.0,1,False
0000_N10/018,N10/018,PM,60,60,1.0,1,False
0000_N10/026,N10/026,AM,120,120,1.0,1,False
0000_N10/026,N10/026,OP,120,120,1.0,1,False
0000_N10/026,N10/026,PM,120,120,1.0,1,False
0000_N10/079,N10/079,AM,60,60,1.0,1,False
0000_N10/079,N10/079,OP,60,60,1.0,1,False
0000_N10/079,N10/079,PM,60,60,1.0,1,False
0000_N11/033,N11/033,AM,60,60,1.0,1,False
0000_N11/033,N11/033,OP,60,60,1.0,1,False
0000_N11/033,N11/033,PM,60,60,1.0,1,False
0000_N12/078,N12/078,AM,80,80,1.0,1,False
0000_N12/078,N12/078,OP,80,80,1.0,1,False
0000_N12/078,N12/078,PM,80,80,1.0,1,False
0000_N13/018,N13/018,AM,120,120,1.0,1,False
0000_N13/018,N13/018,OP,120,120,1.0,1,False
0000_N13/018,N13/018,PM,120,120,1.0,1,False
0000_N13/066,N13/066,AM,60,60,1.0,1,False
0000_N13/066,N13/066,OP,60,60,1.0,1,False
0000_N13/066,N13/066,PM,60,60,1.0,1,False
0000_N13/071,N13/071,AM,96,96,1.0,1,False
0000_N13/071,N13/071,OP,96,96,1.0,1,False
0000_N13/071,N13/071,PM,96,96,1.0,1,False
0000_N13/158,N13/158,AM,120,120,1.0,1,False
0000_N13/158,N13/158,OP,120,120,1.0,1,False
0000_N13/158,N13/158,PM,120,120,1.0,1,False
0000_N13/163,N13/163,AM,60,60,1.0,1,False
0000_N13/163,N13/163,OP,60,60,1.0,1,False
0000_N13/163,N13/163,PM,60,60,1.0,1,False
0000_N16/050,N16/050,AM,60,60,1.0,1,False
0000_N16/050,N16/050,OP,60,60,1.0,1,False
