NodeId,SiteId,UtcStageId,Occurrences,InterstageTotal,InterstageAverage,GreenTotal,GreenAverage,StartTimestamp,EndTimestamp,PeriodId,StageTotal,Cycles,TotalTime,coverage,OccurrenceFactor,AdjustedGreenAverage,AdjustedInterstageAverage,CycleTime,ScootCycleTime,ScootGreenTime,ScootInterstageTime,FinalGreenTime,FinalInterstageTime
N00/002,J00/002,G1,30,55,1.833333333,554,18.46666667,0 days 08:00:00,0 days 09:00:00,AM,609,30,3484,0.967777778,1,18.46666667,1.833333333,116.1333333,120,19.0815155,1.894374282,19,2
N00/002,J00/002,G2,30,170,5.666666667,322,10.73333333,0 days 08:00:00,0 days 09:00:00,AM,492,30,3484,0.967777778,1,10.73333333,5.666666667,116.1333333,120,11.09070034,5.855338691,11,6
N00/002,J00/002,G3,29,254,8.75862069,494,17.03448276,0 days 08:00:00,0 days 09:00:00,AM,748,30,3484,0.967777778,0.966666667,16.46666667,8.466666667,116.1333333,120,17.01492537,8.748564868,17,9
N00/002,J00/002,G4,30,166,5.533333333,190,6.333333333,0 days 08:00:00,0 days 09:00:00,AM,356,30,3484,0.967777778,1,6.333333333,5.533333333,116.1333333,120,6.544202067,5.717566016,6,6
N00/002,J00/002,G5,29,319,11,176,6.068965517,0 days 08:00:00,0 days 09:00:00,AM,495,30,3484,0.967777778,0.966666667,5.866666667,10.63333333,116.1333333,120,6.061997704,10.98737084,6,11
N00/002,J00/002,G6,29,501,17.27586207,283,9.75862069,0 days 08:00:00,0 days 09:00:00,AM,784,30,3484,0.967777778,0.966666667,9.433333333,16.7,116.1333333,120,9.747416762,17.25602755,10,17
N00/003,J00/003,G1,40,400,10,1234,30.85,0 days 08:00:00,0 days 09:00:00,AM,1634,40,3634,1.009444444,1,30.85,10,90.85,88,29.88222345,9.686296092,30,10
N00/003,J00/003,G2,40,240,6,366,9.15,0 days 08:00:00,0 days 09:00:00,AM,606,40,3634,1.009444444,1,9.15,6,90.85,88,8.862960925,5.811777655,9,6
N00/003,J00/003,G3,40,240,6,569,14.225,0 days 08:00:00,0 days 09:00:00,AM,809,40,3634,1.009444444,1,14.225,6,90.85,88,13.77875619,5.811777655,14,6
N00/003,J00/003,G4,39,351,9,234,6,0 days 08:00:00,0 days 09:00:00,AM,585,40,3634,1.009444444,0.975,5.85,8.775,90.85,88,5.666483214,8.499724821,6,7
N00/003,J00/130,G1,38,380,10,1496,39.36842105,0 days 08:00:00,0 days 09:00:00,AM,1876,40,3556,0.987777778,0.95,37.4,9.5,88.9,88,37.02137233,9.403824522,37,8
N00/003,J00/130,G2,40,360,9,1320,33,0 days 08:00:00,0 days 09:00:00,AM,1680,40,3556,0.987777778,1,33,9,88.9,88,32.66591676,8.908886389,33,9
N00/003,J00/139,G1,27,216,8,3096,114.6666667,0 days 08:00:00,0 days 09:00:00,AM,3312,27,3624,1.006666667,1,114.6666667,8,134.2222222,120,102.5165563,7.152317881,103,7
N00/003,J00/139,G2,26,130,5,182,7,0 days 08:00:00,0 days 09:00:00,AM,312,27,3624,1.006666667,0.962962963,6.740740741,4.814814815,134.2222222,120,6.026490066,4.304635762,6,4
N00/004,J00/004,G1,45,406,9.022222222,779,17.31111111,0 days 08:00:00,0 days 09:00:00,AM,1185,46,3565,0.990277778,0.97826087,16.93478261,8.826086957,77.5,80,17.48106592,9.110799439,18,9
