node_id,site_id,utc_stage_id,stage_number,period_id,green_time,interstage_time,cycle_time
N00/002,J00/002,G1,1,AM,14,2,120
N00/002,J00/002,G2,2,AM,13,6,120
N00/002,J00/002,G3,3,AM,18,9,120
N00/002,J00/002,G4,4,AM,7,6,120
N00/002,J00/002,G5,5,AM,6,11,120
N00/002,J00/002,G6,6,AM,10,18,120
N00/003,J00/003,G1,1,AM,32,11,96
N00/003,J00/003,G2,2,AM,10,6,96
N00/003,J00/003,G3,3,AM,15,6,96
N00/003,J00/003,G4,4,AM,6,10,96
N00/003,J00/130,G1,1,AM,41,11,96
N00/003,J00/130,G2,2,AM,35,9,96
N00/003,J00/139,G1,1,AM,83,5,96
N00/003,J00/139,G2,2,AM,5,3,96
N00/004,J00/004,G1,1,AM,17,9,80
N00/004,J00/004,G2,2,AM,7,10,80
N00/004,J00/004,G3,3,AM,18,10,80
N00/004,J00/004,G5,5,AM,2,7,80
N00/004,J00/135,GX,1,AM,65,0,80
N00/004,J00/135,PG,2,AM,15,0,80
N00/004,J00/136,GX,1,AM,69,0,80
N00/004,J00/136,PG,2,AM,11,0,80
N00/004,J00/137,GX,1,AM,63,0,80
N00/004,J00/137,PG,2,AM,17,0,80
N00/005,J00/005,G1,1,AM,40,5,96
N00/005,J00/005,G2,2,AM,21,15,96
N00/005,J00/005,G6,6,AM,6,9,96
N00/005,J00/138,G1,1,AM,88,3,96
N00/005,J00/138,G2,2,AM,3,2,96
N00/006,J00/006,G1,1,AM,35,9,120
N00/006,J00/006,G2,2,AM,9,6,120
N00/006,J00/006,G3,3,AM,8,7,120
N00/006,J00/006,G4,4,AM,41,5,120
N00/006,J00/122,G1,1,AM,20,15,120
N00/006,J00/122,G2,2,AM,30,17,120
N00/006,J00/122,G3,3,AM,7,10,120
N00/006,J00/122,G4,4,AM,6,15,120
N00/006,J00/123,G1,1,AM,91,9,120
N00/006,J00/123,G2,2,AM,13,7,120
N00/006,J00/134,G1,1,AM,23,3,120
N00/006,J00/134,G3,3,AM,40,6,120
N00/006,J00/134,G5,5,AM,32,16,120
N00/007,J00/007,G1,1,AM,26,16,72
N00/007,J00/007,G2,2,AM,0,0,72
N00/007,J00/007,G3,3,AM,10,9,72
N00/007,J00/007,G4,4,AM,4,7,72
N00/008,J00/008,G1,1,AM,46,7,96
N00/008,J00/008,G2,2,AM,6,12,96
N00/008,J00/008,G3,3,AM,10,15,96
N00/009,J00/009,G1,1,AM,13,17,96
N00/009,J00/009,G2,2,AM,6,6,96
N00/009,J00/009,G3,3,AM,21,8,96
N00/009,J00/009,G4,4,AM,6,3,96
N00/009,J00/009,G5,5,AM,6,10,96
N00/009,J00/070,G1,1,AM,62,16,96
N00/009,J00/070,G2,2,AM,12,6,96
N00/010,J00/010,G1,1,AM,11,17,60
N00/010,J00/010,G2,2,AM,13,6,60
N00/010,J00/010,G3,3,AM,5,8,60
N00/011,J00/011,G1,1,AM,4,7,60
N00/011,J00/011,G2,2,AM,3,4,60
N00/011,J00/011,G3,3,AM,4,10,60
N00/011,J00/011,G4,4,AM,4,11,60
N00/011,J00/011,G5,5,AM,6,7,60
N00/012,J00/012,G1,1,AM,17,12,80
N00/012,J00/012,G2,2,AM,19,6,80
N00/012,J00/012,G3,3,AM,6,6,80
N00/012,J00/012,G4,4,AM,6,8,80
N00/013,J00/013,G1,1,AM,12,21,80
N00/013,J00/013,G2,2,AM,14,5,80
N00/013,J00/013,G3,3,AM,5,9,80
