controller_key,phase_ref,turn,saturn_a_node,saturn_b_node,saturn_c_node
00/002,A,1,10266,10151,10286
00/002,B,1,10266,10151,10286
00/002,B,2,10266,10151,10210
00/002,C,1,10286,10151,10266
00/002,C,2,10286,10151,10016
00/002,D,1,10286,10151,10266
00/002,D,2,10286,10151,10016
00/002,D,3,10286,10151,10210
00/002,E,1,10210,10151,10286
00/002,E,2,10210,10151,10016
00/002,E,3,10210,10151,10266
00/002,G,1,10016,10151,10210
00/002,G,2,10016,10151,10286
00/003,A,1,10197,10113,10170
00/003,C,1,20868,10113,10197
00/003,C,2,20868,10113,10197
00/003,D,1,10170,10113,10197
00/004,A,1,10281,10128,14540
00/004,A,2,10281,10128,10124
00/004,A,3,10281,10128,10205
00/004,A,4,10281,10128,10114
00/004,B,1,10205,10128,14540
00/004,B,2,10205,10128,10124
00/004,B,3,10205,10128,10281
00/004,B,4,10205,10128,10114
00/004,C,1,10281,10128,10114
00/004,D,1,10124,10128,10205
00/004,D,2,10124,10128,10114
00/004,D,3,10124,10128,10281
00/004,E,1,10114,10128,10281
00/004,E,2,10114,10128,14540
00/004,E,3,10114,10128,10124
00/004,E,4,10114,10128,10205
00/005,A,1,12613,10101,10167
00/005,B,1,10173,10101,12613
00/005,G,1,10101,10173,10175
00/005,H,1,10175,10173,10101
00/006,C,1,10101,10167,10292
00/006,H,1,10033,10167,10292
00/007,A,1,10267,10168,10200
00/007,A,2,10267,10168,10171
00/007,B,1,10200,10168,10267
00/007,B,2,10200,10168,10171
00/007,C,1,10200,10168,10171
00/007,D,1,10171,10168,10200
00/007,E,1,10171,10168,10267
00/008,A,1,10015,10011,10137
00/008,A,2,10015,10011,10013
00/008,A,3,10015,10011,10395
00/008,C,1,10137,10011,10013
00/008,C,2,10137,10011,10395
00/008,C,3,10137,10011,10015
00/008,D,1,10395,10011,10015
00/008,D,2,10395,10011,10137
00/008,D,3,10395,10011,10013
00/009,A,1,10125,10130,10191
00/009,A,2,10125,10130,10294
00/009,B,1,10191,10130,10294
00/009,B,2,10191,10130,10125
00/009,C,1,10202,10130,10125
00/009,C,2,10202,10130,10294
00/009,D,1,10294,10130,10125
00/009,D,2,10294,10130,10202
00/009,E,1,10202,10130,10125
00/010,A,1,10191,10147,10195
00/010,A,2,10191,10147,10268
00/010,A,3,10191,10147,10273
00/010,B,1,10268,10147,10273
00/010,B,2,10268,10147,10191
00/010,B,3,10268,10147,10195
00/010,C,1,10273,10147,10191
00/010,C,2,10273,10147,10195
00/010,C,3,10273,10147,10268
00/010,D,1,10195,10147,10268
00/010,D,2,10195,10147,10273
00/010,D,3,10195,10147,10191
00/011,A,1,10148,10158,10268
00/011,A,2,10148,10158,10358
00/011,A,3,10148,10158,10269
00/011,C,1,10358,10158,10269
00/011,C,2,10358,10158,10148
00/011,D,1,10269,10158,10148
00/011,D,2,10269,10158,10268
00/011,D,3,10269,10158,10358
00/011,E,1,10268,10158,10358
00/011,E,2,10268,10158,10269
00/011,E,3,10268,10158,10148
00/011,F,1,10195,10358,10156
00/011,F,2,10195,10358,10158
00/011,C,3,10156,10358,10195
00/011,C,4,10156,10358,10158
