controller_key,phase_ref,turn,saturn_a_node,saturn_b_node,saturn_c_node
00/002,A,1,10266,10151,10286
00/002,B,1,10266,10151,10210
00/002,B,2,10266,10151,10286
00/002,C,1,10286,10151,10016
00/002,C,2,10286,10151,10266
00/002,D,1,10286,10151,10210
00/002,D,2,10286,10151,10016
00/002,D,3,10286,10151,10266
00/002,E,1,10210,10151,10286
00/002,E,2,10210,10151,10016
00/002,E,3,10210,10151,10266
00/002,G,1,10016,10151,10210
00/002,G,2,10016,10151,10286
00/003,A,1,10160,10197,10113
00/003,C,1,20868,10113,10197
00/003,D,1,10113,10197,10160
00/004,A,1,10281,10128,10205
00/004,A,2,10281,10128,14540
00/004,A,3,10281,10128,10114
00/004,A,4,10281,10128,10124
00/004,B,1,10205,10128,14540
00/004,B,2,10205,10128,10281
00/004,B,3,10205,10128,10114
00/004,B,4,10205,10128,10124
00/004,C,1,10281,10128,10114
00/004,D,1,10124,10128,10205
00/004,D,2,10124,10128,14540
00/004,D,3,10124,10128,10281
00/004,D,4,10124,10128,10114
00/004,E,1,10114,10128,10205
00/004,E,2,10114,10128,14540
00/004,E,3,10114,10128,10281
00/004,E,4,10114,10128,10124
00/005,A,1,10101,10173,10175
00/005,H,1,10175,10173,10101
00/007,A,1,10267,10168,10171
00/007,A,2,10267,10168,10200
00/007,B,1,10200,10168,10267
00/007,B,2,10200,10168,10171
00/007,D,1,10171,10168,10200
00/007,E,1,10171,10168,10267
00/008,A,1,10015,10011,10137
00/008,A,2,10015,10011,10013
00/008,A,3,10015,10011,10025
00/008,C,1,10137,10011,10015
00/008,C,2,10137,10011,10013
00/008,C,3,10137,10011,10025
00/008,D,1,10025,10011,10015
00/008,D,2,10025,10011,10137
00/008,D,3,10025,10011,10013
00/009,A,1,10125,10130,10294
00/009,A,2,10125,10130,10191
00/009,B,1,10191,10130,10125
00/009,B,2,10191,10130,10294
00/009,C,1,10202,10130,10125
00/009,C,2,10202,10130,10294
00/009,D,1,10294,10130,10125
00/009,D,2,10294,10130,10202
00/009,E,1,10202,10130,10125
00/010,A,1,10191,10147,10273
00/010,A,2,10191,10147,10195
00/010,A,3,10191,10147,10268
00/010,B,1,10268,10147,10273
00/010,B,2,10268,10147,10195
00/010,B,3,10268,10147,10191
00/010,C,1,10273,10147,10195
00/010,C,2,10273,10147,10191
00/010,C,3,10273,10147,10268
00/010,D,1,10195,10147,10273
00/010,D,2,10195,10147,10191
00/010,D,3,10195,10147,10268
00/011,A,1,10148,10158,10358
00/011,A,2,10148,10158,10269
00/011,D,1,10358,10158,10269
00/011,D,2,10358,10158,10148
00/011,E,1,10269,10158,10358
00/011,E,2,10269,10158,10148
00/011,K,1,10158,10148,10194
00/011,M,1,10194,10148,10158
00/012,A,1,10287,10278,10190
00/012,A,2,10287,10278,10154
00/012,B,1,10154,10278,10190
00/012,B,2,10154,10278,10154
00/012,B,3,10154,10278,10287
00/012,C,1,10154,10278,10190
00/012,C,2,10154,10278,10287
00/012,C,3,10154,10278,10154
00/013,A,1,10154,10162,10198
00/013,B,1,10198,10162,10154
00/014,A,1,10163,10165,10282
00/014,A,2,10282,10165,10163
00/015,A,1,10172,10032,10021
00/015,B,1,10021,10032,10172
00/015,B,2,10021,10032,26323
00/015,M,1,26323,10032,10172
00/015,M,2,26323,10032,10021
00/016,A,1,10215,10163,10198
00/016,A,2,10215,10163,10165
00/016,B,1,10165,10163,10215
00/016,B,2,10165,10163,10164
00/016,C,1,10164,10163,10198
00/016,C,2,10164,10163,10165
00/016,D,1,10198,10163,10215
00/016,D,2,10198,10163,10164
00/019,A,1,10220,10174,10201
00/019,A,2,10220,10174,10288
00/019,A,3,10220,10174,10290
00/019,B,1,10201,10174,10220
00/019,B,2,10201,10174,10290
00/019,C,1,10288,10174,10220
00/019,C,2,10288,10174,10290
00/019,D,1,10279,10290,10280
00/019,E,1,10279,10290,10174
00/019,F,1,10280,10290,10174
00/019,G,1,10290,10174,10201
00/019,G,2,10290,10174,10288
00/019,G,3,10290,10174,10220
00/019,H,1,10174,10290,10280
00/019,I,1,10220,10174,10201
00/019,I,2,10220,10174,10288
00/019,P,1,10174,10290,10279
00/020,A,1,10411,10166,10199
00/020,A,2,10411,10166,10279
00/020,B,1,10279,10166,10199
00/020,B,2,10279,10166,10411
00/020,C,1,10288,10166,10199
00/020,C,2,10288,10166,10411
00/020,D,1,10199,10166,10279
00/021,A,1,10207,10156,10244
00/021,B,1,10244,10156,10264
00/021,B,2,10244,10156,10207
00/021,C,1,10104,10156,10264
00/021,D,1,10264,10156,10207
00/021,D,2,10264,10156,10244
00/021,D,3,10264,10156,10104
00/022,B,1,10408,10149,10275
00/023,A,1,10195,10150,10192
00/023,B,1,10275,10150,10195
00/023,B,2,10275,10150,10192
00/023,C,1,10192,10150,10195
00/024,A,1,10133,10135,10274
00/024,A,2,10133,10135,10127
00/024,A,3,10133,10135,10192
00/024,B,1,10274,10135,10127
00/024,B,2,10274,10135,10192
00/024,B,3,10274,10135,10133
00/024,C,1,10127,10135,10274
00/024,C,2,10127,10135,10192
00/024,C,3,10127,10135,10133
00/024,D,1,10192,10135,10274
00/024,D,2,10192,10135,10127
00/024,D,3,10192,10135,10133
00/025,A,1,10134,10139,10140
00/025,A,2,10134,10139,10237
00/025,A,3,10134,10139,10274
00/025,B,1,10237,10139,10134
00/025,B,2,10237,10139,10274
00/025,C,1,10274,10139,10140
00/025,C,2,10274,10139,10134
00/025,C,3,10274,10139,10237
00/025,D,1,10140,10139,10134
00/025,D,2,10140,10139,10237
00/025,D,3,10140,10139,10274
00/025,E,1,10140,10139,10134
00/025,E,2,10140,10139,10274
00/025,F,1,10134,10139,10274
00/027,A,1,10251,10252,10143
00/027,B,1,10253,10143,10252
00/028,A,1,10117,10119,10110
00/028,A,2,10117,10119,10413
00/028,A,3,10117,10119,10393
00/028,B,1,10413,10119,10110
00/028,B,2,10413,10119,10393
00/028,B,3,10413,10119,10117
00/028,C,1,10110,10119,10413
00/028,C,2,10110,10119,10393
00/028,C,3,10110,10119,10117
00/028,D,1,10393,10119,10110
00/028,D,2,10393,10119,10413
00/028,D,3,10393,10119,10117
00/029,A,1,10291,10266,10151
00/029,B,1,10291,10266,10151
00/029,C,1,10151,10266,10291
00/030,A,1,12846,12845,10285
00/030,A,2,12846,12845,10153
00/030,B,1,10153,12845,10285
00/030,B,2,10153,12845,12846
00/030,C,1,10153,12845,10285
00/031,A,1,12845,10153,10184
00/031,A,2,12845,10153,10209
00/031,B,1,10209,10153,10184
00/031,B,2,10209,10153,12845
00/031,D,1,10184,10153,10209
00/031,D,2,10184,10153,12845
00/032,A,1,10273,10190,10138
00/032,B,1,10138,10190,10273
00/032,C,1,10278,10190,10138
00/032,C,2,10278,10190,10273
00/033,A,1,10278,10287,10196
00/033,A,2,10278,10287,10146
00/033,C,1,10146,10287,10278
00/033,C,2,10146,10287,10196
00/033,D,1,10196,10287,10146
00/035,A,1,10232,10123,10186
00/035,A,2,10232,10123,10121
00/035,B,1,10121,10123,10186
00/035,B,2,10121,10123,10232
00/035,C,1,10232,10123,10186
00/036,A,1,10183,10181,10182
00/036,B,1,10182,10181,10183
00/036,C,1,10280,10181,10182
00/036,D,1,10182,10181,10280
00/037,A,1,10155,10246,10157
00/037,C,1,10157,10246,10155
00/042,A,1,10264,10157,10246
00/042,B,1,10246,10157,10199
00/042,B,2,10246,10157,10264
00/042,C,1,10199,10157,10246
00/042,F,1,10246,10157,10199
00/044,A,1,10213,10159,10196
00/044,A,2,10213,10159,10214
00/044,B,1,10214,10159,10213
00/044,B,2,10214,10159,10196
00/044,C,1,10159,10213,10212
00/044,D,1,10196,10159,10213
00/044,D,2,10287,10196,10159
00/044,D,3,10196,10159,10214
00/044,E,1,10214,10159,10196
00/047,A,1,10233,10234,10236
00/048,A,1,10125,10108,10105
00/048,A,2,10125,10108,10224
00/048,A,3,10125,10108,10271
00/048,B,1,10224,10108,10105
00/048,B,2,10224,10108,10125
00/048,C,1,10271,10108,10105
00/048,C,2,10271,10108,10125
00/048,C,3,10271,10108,10224
00/048,D,1,10105,10108,10125
00/048,D,2,10105,10108,10224
00/048,D,3,10105,10108,10271
00/048,E,1,10125,10108,10105
00/051,A,1,10115,10180,10000
00/051,B,1,10000,10180,10115
00/051,C,1,10000,10180,10115
00/052,A,1,10180,10000,10183
00/052,B,1,10183,10000,10180
00/052,E,1,10180,10000,10183
00/055,A,1,10131,10001,10188
00/055,A,2,10131,10001,10003
00/055,B,1,10188,10001,10131
00/055,C,1,10003,10001,10188
00/055,C,2,10003,10001,10131
00/056,A,1,10358,10104,10156
00/056,A,2,10156,10104,10358
00/058,A,1,10137,10206,10283
00/058,A,2,10205,10206,10137
00/059,B,1,10172,10176,10171
00/059,C,1,10171,10176,10172
00/060,A,1,10157,10264,10156
00/060,A,2,10156,10264,10157
00/061,A,1,10166,10199,10157
00/061,A,2,10157,10199,10166
00/062,A,1,10136,10276,20209
00/064,A,1,10289,10133,10135
00/064,B,1,10135,10133,10289
00/064,C,1,10421,10133,10289
00/064,F,1,10421,10133,10135
00/065,A,1,10230,20864,20214
00/065,A,2,10230,20864,18394
00/065,B,1,20214,20864,10230
00/065,B,2,20214,20864,20214
00/065,B,3,20214,20864,18394
00/065,C,1,18394,20864,20214
00/065,D,1,20214,20864,10230
00/065,D,2,20214,20864,18394
00/065,D,3,20214,20864,20214
00/069,A,1,20209,10301,10300
00/073,A,1,10138,10304,10141
00/083,A,1,10032,10021,10115
00/083,B,1,10115,10021,10032
00/089,A,1,10122,10284,10187
00/090,A,1,10022,10120,10019
00/097,A,1,10289,10202,10130
00/097,A,2,10130,10202,10289
00/100,A,1,10405,10161,10295
00/100,A,2,10405,10161,10164
00/100,B,1,10295,10161,10164
00/100,C,1,10164,10161,10295
00/100,F,1,10295,10161,10405
00/101,A,1,20202,20367,20209
00/101,A,2,20209,20367,20202
00/102,A,1,10301,10300,10140
00/103,A,1,10152,20226,20228
00/103,B,1,20228,20226,10152
00/107,A,1,10105,10106,10126
00/108,B,1,10395,10397,10142
00/108,E,1,10287,10146,10145
00/110,A,1,10020,10121,10123
00/110,A,2,10123,10121,10230
00/114,A,1,10213,10212,10211
00/114,A,2,10211,10212,10213
00/115,A,1,10240,10239,10237
00/115,A,2,10237,10239,10240
00/116,A,1,10134,10132,10236
00/116,A,2,10134,10132,10189
00/116,B,1,10236,10132,10134
00/116,C,1,10189,10132,10134
00/117,A,1,10201,10178,10282
00/117,B,1,10282,10178,10201
00/122,A,1,10291,10292,10033
00/122,E,1,10200,10292,10033
00/122,F,1,10200,10292,10033
00/125,A,1,10169,10164,10163
00/125,A,2,10169,10164,10161
00/125,B,1,10163,10164,10169
00/125,C,1,10161,10164,10163
00/125,C,2,10161,10164,10169
00/126,A,1,10021,10115,10180
00/126,B,1,10180,10115,10021
00/130,B,1,10179,10170,20861
00/141,A,1,10395,10025,10011
00/141,B,1,10011,10025,10395
00/142,A,1,10257,10256,10129
00/142,B,1,10129,10256,10257
00/142,C,1,10129,10256,10257
00/142,C,2,10129,10256,10129
00/142,D,1,10256,10129,10255
00/142,E,1,10256,10129,10255
00/142,E,2,10396,10256,10257
13/001,A,1,36094,36098,36050
13/001,A,2,36094,36098,36099
13/001,C,1,36050,36098,36094
13/001,C,2,36050,36098,36099
13/001,D,1,36099,36098,36050
13/001,D,2,36099,36098,36094
13/001,E,1,36094,36098,36099
13/002,A,1,74834,36102,36049
13/002,A,2,74834,36102,36050
13/002,A,3,74834,36102,36097
13/002,B,1,36050,36102,36049
13/002,B,2,36050,36102,74834
13/002,B,3,36050,36102,36097
13/002,C,1,36049,36102,74834
13/002,C,2,36049,36102,36050
13/002,C,3,36049,36102,36097
13/002,D,1,36097,36102,36049
13/002,D,2,36097,36102,74834
13/002,D,3,36097,36102,36050
13/002,E,1,36049,36102,74834
13/003,A,1,36061,36089,36117
13/003,A,2,36061,36089,36063
13/003,A,3,36061,36089,36066
13/003,B,1,36066,36089,36061
13/003,B,2,36066,36089,36117
13/003,B,3,36066,36089,36063
13/003,C,1,36117,36089,36061
13/003,C,2,36117,36089,36063
13/003,C,3,36117,36089,36066
13/003,D,1,36063,36089,36061
13/003,D,2,36063,36089,36117
13/003,D,3,36063,36089,36066
13/003,F,1,36117,36089,36063
13/003,F,2,36117,36089,36066
13/004,A,1,36263,36262,36280
13/004,A,2,36263,36262,36332
13/004,B,1,36280,36262,36263
13/004,B,2,36280,36262,36332
13/004,C,1,36332,36262,36263
13/004,C,2,36332,36262,36280
13/004,D,1,36263,36262,36332
13/005,G,1,36229,36230,36228
13/005,G,2,36229,36230,36168
13/005,H,1,36168,36230,36229
13/005,H,2,36168,36230,36228
13/005,I,1,36232,36230,36229
13/005,I,2,36232,36230,36228
13/005,I,3,36232,36230,36168
13/007,A,1,36031,36247,36157
13/007,A,2,36031,36247,36033
13/007,B,1,36033,36247,36459
13/007,B,2,36033,36247,36157
13/007,B,3,36033,36247,36031
13/007,C,1,36459,36247,36157
13/007,C,2,36459,36247,36031
13/007,D,1,36157,36247,36459
13/007,D,2,36157,36247,36033
13/007,E,1,36157,36247,36459
13/007,E,2,36157,36247,36031
13/007,E,3,36157,36247,36033
13/008,A,1,36107,36255,36458
13/008,A,2,36107,36255,36154
13/008,A,3,36107,36255,36256
13/008,B,1,36256,36255,36107
13/008,B,2,36256,36255,36154
13/008,C,1,36154,36255,36107
13/008,C,2,36154,36255,36458
13/008,D,1,36458,36255,36107
13/008,D,2,36458,36255,36154
13/008,D,3,36458,36255,36256
13/008,E,1,36458,36255,36107
13/010,A,1,36274,36273,36331
13/010,A,2,36274,36273,36336
13/010,A,3,36274,36273,36333
13/010,B,1,36336,36273,36331
13/010,B,2,36336,36273,36274
13/010,B,3,36336,36273,36333
13/010,C,1,36331,36273,36336
13/010,C,2,36331,36273,36274
13/010,C,3,36331,36273,36333
13/010,D,1,36333,36273,36331
13/010,D,2,36333,36273,36336
13/010,D,3,36333,36273,36274
13/011,A,1,72441,36269,36484
13/011,A,2,72441,36269,36406
13/011,A,3,72441,36269,36030
13/011,B,1,36030,36269,36484
13/011,B,2,36030,36269,72441
13/011,B,3,36030,36269,36406
13/011,C,1,72441,36269,36484
13/011,D,1,36484,36269,72441
13/011,D,2,36484,36269,36406
13/011,D,3,36484,36269,36030
13/011,E,1,36406,36269,36484
13/011,E,2,36406,36269,72441
13/011,F,1,36406,36269,72441
13/012,A,1,36330,36271,36316
13/012,A,2,36330,36271,36218
13/012,B,1,36218,36271,36316
13/012,B,2,36218,36271,36330
13/012,D,1,36316,36271,36218
13/012,D,2,36316,36271,36330
13/016,A,1,44297,44840,36468
13/016,A,2,44297,44840,44252
13/016,A,3,44297,44840,36006
13/016,B,1,36006,44840,36468
13/016,B,2,36006,44840,44297
13/016,B,3,36006,44840,44252
13/016,C,1,36468,44840,44297
13/016,C,2,36468,44840,44252
13/016,C,3,36468,44840,36006
13/016,D,1,44252,44840,36468
13/016,D,2,44252,44840,44297
