controller_key,phase_ref,turn,saturn_a_node,saturn_b_node,saturn_c_node
11/001,A,1,34338,34158,34171
11/001,A,2,34338,34158,32216
11/001,B,1,32216,34158,34338
11/001,B,2,32216,34158,34171
11/001,C,1,34338,34158,34171
11/001,D,1,34171,34158,34338
11/001,D,2,34171,34158,32216
11/001,E,1,34171,34158,34338
11/002,A,1,34314,34010,32166
11/002,A,2,34314,34010,34338
11/002,B,1,34338,34010,34314
11/002,B,2,34338,34010,32166
11/002,C,1,32166,34010,34314
11/002,C,2,32166,34010,34338
11/002,D,1,32166,34010,34338
11/002,E,1,34338,34010,32166
11/004,A,1,32615,32097,32223
11/004,B,1,32097,32615,32415
11/004,C,1,32179,32097,32223
11/004,D,1,32099,32097,32179
11/004,E,1,32099,32097,32223
11/005,A,1,32261,32082,32262
11/005,A,2,32261,32082,32270
11/005,A,3,32261,32082,32056
11/005,B,1,32262,32082,32270
11/005,B,2,32262,32082,32056
11/005,B,3,32262,32082,32261
11/005,C,1,32270,32082,32262
11/005,C,2,32270,32082,32056
11/005,C,3,32270,32082,32261
11/005,D,1,32056,32082,32262
11/005,D,2,32056,32082,32270
11/005,D,3,32056,32082,32261
11/007,A,1,32086,32088,32085
11/007,A,2,32086,32088,32411
11/007,A,3,32086,32088,60622
11/007,B,1,32411,32088,32086
11/007,B,2,32411,32088,32085
11/007,B,3,32411,32088,60622
11/007,C,1,60622,32088,32086
11/007,C,2,60622,32088,32085
11/007,C,3,60622,32088,32411
11/007,D,1,32085,32088,32086
11/007,D,2,32085,32088,32411
11/007,D,3,32085,32088,60622
11/009,A,1,32203,32099,32097
11/009,A,2,32203,32099,32366
11/009,B,1,32203,32099,32200
11/009,C,1,32203,32099,32097
11/009,D,1,32203,32099,32366
11/009,E,1,32203,32099,32200
11/009,F,1,32200,32099,32097
11/009,F,2,32200,32099,32366
11/009,H,1,32366,32099,32097
11/010,A,1,60148,32083,32352
11/010,A,2,60148,32083,32345
11/010,B,1,32345,32083,32352
11/010,B,2,32345,32083,60148
11/010,D,1,32352,32083,32345
11/010,D,2,32352,32083,60148
11/010,E,1,60148,32083,32352
11/011,A,1,32171,32102,32363
11/011,A,2,32171,32102,32209
11/011,B,1,32209,32102,32363
11/011,B,2,32209,32102,32171
11/011,C,1,32363,32102,32171
11/011,C,2,32363,32102,32209
11/011,E,1,32171,32102,32363
11/012,A,1,32120,32188,32421
11/012,A,2,32120,32188,32154
11/012,B,1,32154,32188,32421
11/012,B,2,32154,32188,32120
11/012,D,1,32421,32188,32154
11/013,A,1,32184,32122,32185
11/013,A,2,32184,32122,32419
11/013,B,1,32185,32122,32184
11/013,B,2,32185,32122,32419
11/013,D,1,32419,32122,32184
11/013,D,2,32419,32122,32185
11/015,A,1,32356,32002,32356
11/015,A,2,32356,32002,32254
11/015,B,1,32254,32002,32356
11/015,C,1,32254,32002,32356
11/015,D,1,32147,32002,32254
11/016,A,1,32116,32119,32095
11/016,A,2,32116,32119,32156
11/016,B,1,32156,32119,32116
11/016,B,2,32156,32119,32781
11/016,C,1,32781,32119,32095
11/016,C,2,32781,32119,32116
11/016,D,1,32095,32119,32781
11/017,A,1,34251,32117,32059
11/017,A,2,34251,32117,32156
11/017,B,1,32156,32117,34251
11/017,B,2,32156,32117,32226
11/017,C,1,32156,32117,32059
11/017,D,1,32059,32117,32226
11/017,D,2,32059,32117,32156
11/017,E,1,32226,32117,32059
11/017,E,2,32226,32117,34251
11/019,A,1,32158,32134,32124
11/019,A,2,32158,32134,32131
11/019,A,3,32158,32134,32147
11/019,B,1,32131,32134,32158
11/019,B,2,32131,32134,32124
11/019,B,3,32131,32134,32147
11/019,C,1,32147,32134,32158
11/019,C,2,32147,32134,32124
11/019,C,3,32147,32134,32131
11/019,D,1,32124,32134,32158
11/019,D,2,32124,32134,32131
11/019,D,3,32124,32134,32147
11/020,A,1,32161,32131,32134
11/020,A,2,32161,32131,32394
11/020,A,3,32161,32131,32253
11/020,B,1,32134,32131,32394
11/020,B,2,32134,32131,32161
11/020,B,3,32134,32131,32253
11/020,C,1,32394,32131,32134
11/020,C,2,32394,32131,32161
11/020,C,3,32394,32131,32253
11/020,D,1,32253,32131,32134
11/020,D,2,32253,32131,32394
11/020,D,3,32253,32131,32161
11/022,A,1,32443,32128,32371
11/022,A,2,32443,32128,32439
11/022,B,1,32439,32128,32443
11/022,B,2,32439,32128,32371
11/022,C,1,32371,32128,32443
11/022,C,2,32371,32128,32439
11/022,D,1,32439,32128,32443
11/023,A,1,32174,32132,32369
11/023,A,2,32174,32132,32163
11/023,B,1,32369,32132,32174
11/023,B,2,32369,32132,32163
11/023,C,1,32163,32132,32369
11/023,C,2,32163,32132,32174
11/024,A,1,32137,32136,32160
11/024,A,2,32137,32136,32395
11/024,B,1,32160,32136,32137
11/024,B,2,32160,32136,32395
11/024,C,1,32395,32136,32160
11/024,C,2,32395,32136,32137
11/025,A,1,32151,32125,32427
11/025,A,2,32151,32125,32393
11/025,B,1,32427,32125,32151
11/025,B,2,32427,32125,32393
11/025,C,1,32393,32125,32427
11/025,C,2,32393,32125,32151
11/025,E,1,32151,32125,32393
11/026,A,1,64904,32430,32218
11/026,D,1,32061,32431,64904
11/027,A,1,32097,32223,32440
11/029,A,1,32349,32201,32437
11/029,A,2,32349,32201,32010
11/029,B,1,32010,32201,32437
11/031,A,1,32149,32305,32306
11/031,A,2,32306,32305,32149
11/033,A,1,32102,32209,34324
11/033,A,2,34324,32209,32102
11/036,A,1,32128,32439,32127
11/036,A,2,32127,32439,32128
11/037,A,1,32369,32371,32128
11/037,A,2,32128,32371,32369
11/041,A,1,32194,32133,32174
11/041,B,1,32174,32133,32194
11/041,C,1,32174,32133,32162
11/041,D,1,32162,32133,32194
11/041,D,2,32162,32133,32174
11/045,A,1,32210,32140,32281
11/045,A,2,32210,32140,32162
11/045,A,3,32210,32140,32412
11/045,B,1,32412,32140,32281
11/045,B,2,32412,32140,32162
11/045,B,3,32412,32140,32210
11/045,C,1,32162,32140,32281
11/045,C,2,32162,32140,32210
11/045,C,3,32162,32140,32412
11/045,D,1,32281,32140,32162
11/045,D,2,32281,32140,32210
11/045,D,3,32281,32140,32412
11/045,E,1,32210,32140,32281
11/045,F,1,32281,32140,32210
11/046,A,1,32206,32100,32252
11/046,A,2,32206,32100,32331
11/046,B,1,32331,32100,32206
11/046,B,2,32331,32100,32252
11/046,C,1,32331,32100,32252
11/046,D,1,32252,32100,32206
11/046,D,2,32252,32100,32331
11/049,A,1,32103,32106,32207
11/049,A,2,32103,32106,32227
11/049,B,1,32207,32106,32227
11/049,B,2,32207,32106,32103
11/049,C,1,32103,32106,32227
11/049,D,1,32227,32106,32103
11/049,E,1,32227,32106,32207
11/049,E,2,32227,32106,32103
11/050,A,1,32106,32103,32171
11/050,B,1,32171,32103,32095
11/050,B,2,32171,32103,32106
11/050,C,1,32106,32103,32095
11/050,D,1,32095,32103,32106
11/052,C,1,32378,32114,32362
11/053,A,1,32345,32346,32211
11/053,A,2,32211,32346,32345
11/054,A,1,32154,32189,32794
11/054,A,2,32794,32189,32154
11/056,A,1,32131,32253,32395
11/056,A,2,32395,32253,32131
11/064,A,1,32176,32164,32179
11/064,A,2,32179,32164,32176
11/066,A,1,32164,32179,32097
11/066,A,2,32097,32179,32164
11/071,A,1,32002,32254,30594
11/071,A,2,30594,32254,32002
11/076,C,1,32381,32118,32324
11/076,D,1,32118,32324,32382
11/076,E,1,32114,32141,32027
11/076,I,1,32383,32141,32027
11/078,A,1,32058,32096,32176
11/078,A,2,32058,32096,32217
11/078,B,1,32176,32096,32217
11/078,B,2,32176,32096,32058
11/078,C,1,32217,32096,32176
11/078,C,2,32217,32096,32058
11/081,A,1,32129,32127,32439
11/083,A,1,34317,34316,34507
11/083,A,2,34317,34316,34055
11/083,B,1,34055,34316,34507
11/083,B,2,34055,34316,34317
11/083,C,1,34317,34316,34507
11/083,E,1,34507,34316,34055
11/083,E,2,34507,34316,34317
11/083,F,1,34507,34316,34317
11/084,E,1,32110,32113,32034
11/085,A,1,32792,32112,32037
11/085,B,1,32191,32112,32037
11/085,E,1,32792,32112,32191
11/086,A,1,32223,32440,32348
11/088,A,1,32046,32357,32335
11/088,A,2,32335,32357,32046
11/089,A,1,34303,32173,34305
11/089,B,1,32350,32173,34305
11/091,A,1,34305,34304,34208
11/091,A,2,34305,34304,34303
11/091,B,1,34208,34304,34303
11/091,F,1,34304,34303,32173
11/091,F,2,34304,34303,34212
11/091,G,1,34212,34303,32173
11/093,A,1,32037,32436,32155
11/097,A,1,32793,32115,32795
11/097,A,2,32793,32115,32396
11/097,C,1,32794,32115,32396
11/097,D,1,32396,32115,32794
11/097,E,1,32794,32115,32795
11/097,F,1,32396,32115,32795
11/097,J,1,32793,32115,32794
11/098,A,1,32224,32203,32099
11/102,A,1,32112,32037,32109
11/102,B,1,32432,32109,32108
11/102,H,1,32112,32037,32436
11/104,A,1,32109,32108,32396
11/106,A,1,32396,32110,32113
11/106,B,1,32208,32110,32113
11/106,C,1,32396,32110,32029
11/109,A,1,32004,32442,32075
11/109,A,2,32075,32442,32004
11/112,A,1,32787,32183,32182
11/112,A,2,32182,32183,32787
11/117,A,1,32390,32433,32211
11/117,B,1,32211,32433,32390
11/121,A,1,32070,32068,32198
11/121,A,2,32198,32068,32070
11/122,A,1,32190,32026,32325
11/122,B,1,32380,32026,32190
11/124,A,1,32070,32101,32020
11/124,A,2,32070,32101,32064
11/124,B,1,32064,32101,32070
11/124,C,1,32064,32101,32020
11/124,H,1,32101,32064,32157
11/124,I,1,32157,32064,32101
11/124,L,1,32023,32157,32064
11/130,A,1,32330,32351,32050
11/130,A,2,32050,32351,32330
11/136,A,1,34052,34160,34053
11/136,A,2,34053,34160,34052
11/141,A,1,32436,32155,32438
11/146,A,1,32133,32174,32132
11/146,A,2,32133,32174,32143
11/146,B,1,32132,32174,32133
11/146,B,2,32132,32174,32143
11/146,D,1,32143,32174,32132
11/146,D,2,32143,32174,32133
11/156,A,1,32340,32443,32128
11/156,A,2,32128,32443,32340
11/157,A,1,32443,32340,32341
11/157,A,2,32341,32340,32443
11/158,A,1,32083,32352,32080
11/158,A,2,32080,32352,32083
11/167,A,1,32225,32617,34050
11/167,A,2,34050,32617,32225
11/169,A,1,32413,32414,32415
11/169,A,2,32415,32414,32413
11/170,A,1,32414,32413,32225
11/170,A,2,32225,32413,32414
11/171,A,1,32348,32350,32173
11/171,B,1,32348,32350,32173
11/171,C,1,32434,32350,32349
11/171,D,1,32434,32350,32173
11/171,E,1,32173,32350,32173
11/171,G,1,32440,32348,32350
11/174,A,1,32413,32225,32617
11/174,A,2,32413,32225,32175
11/174,B,1,32413,32225,32175
11/174,C,1,32617,32225,32175
11/174,C,2,32617,32225,32413
11/174,D,1,32175,32225,32617
11/174,D,2,32175,32225,32413
11/174,G,1,32175,32225,32413
