controller_key,phase_ref,turn,saturn_a_node,saturn_b_node,saturn_c_node
18/001,A,1,46045,46046,46272
18/001,A,2,46045,46046,46517
18/001,A,3,46045,46046,46041
18/001,B,1,46272,46046,46517
18/001,B,2,46272,46046,46041
18/001,B,3,46272,46046,46045
18/001,C,1,46041,46046,46272
18/001,C,2,46041,46046,46517
18/001,C,3,46041,46046,46045
18/001,D,1,46517,46046,46272
18/001,D,2,46517,46046,46041
18/001,D,3,46517,46046,46045
18/001,E,1,46517,46046,46045
18/002,A,1,46032,46029,46391
18/002,A,2,46032,46029,46031
18/002,A,3,46032,46029,46027
18/002,B,1,46027,46029,46391
18/002,B,2,46027,46029,46032
18/002,B,3,46027,46029,46031
18/002,C,1,46031,46029,46391
18/002,C,2,46031,46029,46032
18/002,C,3,46031,46029,46027
18/002,D,1,46391,46029,46032
18/002,D,2,46391,46029,46031
18/002,D,3,46391,46029,46027
18/003,A,1,46392,46016,46307
18/003,A,2,46392,46016,46015
18/003,A,3,46392,46016,46305
18/003,B,1,46307,46016,46015
18/003,B,2,46307,46016,46392
18/003,B,3,46307,46016,46305
18/003,C,1,46015,46016,46307
18/003,C,2,46015,46016,46392
18/003,C,3,46015,46016,46305
18/003,D,1,46305,46016,46307
18/003,D,2,46305,46016,46015
18/004,A,1,46419,46020,46019
18/004,A,2,46419,46020,46417
18/004,A,3,46419,46020,46028
18/004,B,1,46019,46020,46417
18/004,B,2,46019,46020,46028
18/004,B,3,46019,46020,46419
18/004,C,1,46417,46020,46019
18/004,D,1,46417,46020,46019
18/004,D,2,46417,46020,46028
18/004,D,3,46417,46020,46419
18/004,E,1,46028,46020,46019
18/004,E,2,46028,46020,46417
18/004,E,3,46028,46020,46419
18/006,A,1,46415,46086,46421
18/006,A,2,46415,46086,46087
18/006,B,1,46415,46086,46421
18/006,C,1,46087,46086,46421
18/006,C,2,46087,46086,46415
18/006,D,1,46421,46086,46415
18/006,D,2,46421,46086,46087
18/006,I,1,46433,46087,46086
18/006,I,2,46433,46087,46513
18/006,J,1,46086,46087,46513
18/006,J,2,46086,46087,46433
18/006,K,1,46513,46087,46086
18/006,K,2,46513,46087,46433
18/007,A,1,47013,46115,46109
18/007,A,2,47013,46115,46467
18/007,B,1,46109,46115,46475
18/007,B,2,46109,46115,47013
18/007,B,3,46109,46115,46467
18/007,C,1,46467,46115,46475
18/007,C,2,46467,46115,47013
18/007,C,3,46467,46115,46109
18/007,D,1,46475,46115,47013
18/007,D,2,46475,46115,46109
18/007,D,3,46475,46115,46467
18/007,E,1,46467,46115,46475
18/007,E,2,46467,46115,47013
18/007,F,1,46109,46115,46467
18/012,A,1,46132,46133,46130
18/012,A,2,46132,46133,46490
18/012,B,1,46126,46133,46130
18/012,B,2,46126,46133,46490
18/012,C,1,46490,46133,46130
18/012,H,1,46126,46133,46132
18/013,A,1,46071,46069,46068
18/013,A,2,46071,46069,46063
18/013,B,1,47021,46071,46515
18/013,B,2,47021,46071,46069
18/013,C,1,46068,46069,46063
18/013,C,2,46068,46069,46071
18/013,D,1,46069,46071,47021
18/013,D,2,46069,46071,46515
18/013,E,1,46063,46069,46068
18/013,F,1,46515,46071,47021
18/013,F,2,46515,46071,46069
18/021,A,1,46092,46355,46311
18/021,A,2,46311,46355,46092
18/025,A,1,46271,47022,46053
18/026,A,1,46071,47021,46075
18/026,B,1,46075,47021,46071
18/026,C,1,47021,46075,47021
18/033,A,1,46124,46126,46133
18/033,B,1,46130,46126,46133
18/033,E,1,46130,46126,46124
18/034,A,1,46133,46130,46126
18/034,B,1,46510,46130,46126
18/037,A,1,46106,46108,46109
18/037,A,2,46106,46108,46111
18/037,B,1,46109,46108,46106
18/037,C,1,46109,46108,46111
18/037,D,1,46111,46108,46109
18/037,D,2,46111,46108,46106
18/041,A,1,46173,47005,46492
18/041,A,2,46492,47005,46173
18/042,A,1,46135,46510,46130
18/042,A,2,46130,46510,46135
18/043,A,1,46062,46516,46068
18/043,A,2,46068,46516,46062
18/044,A,1,46051,46055,46051
18/044,A,2,46051,46055,46407
18/044,C,1,46407,46055,46051
18/044,D,1,46301,46055,46051
18/044,D,2,46301,46055,46407
18/058,A,1,46097,46104,46105
18/058,A,2,46105,46104,46097
18/060,A,1,46265,46514,46217
18/060,A,2,46217,46514,46265
18/061,A,1,46033,46032,46033
18/061,A,2,46033,46032,46029
18/061,B,1,46032,46033,46026
18/061,C,1,46044,46032,46029
18/061,D,1,46029,46032,46033
18/061,E,1,46029,46032,46033
18/063,A,1,46066,46067,46456
18/063,A,2,46066,46067,46083
18/063,B,1,46456,46067,46083
18/063,B,2,46456,46067,46066
18/063,C,1,46083,46067,46456
18/063,C,2,46083,46067,46066
18/064,A,1,46183,46187,46189
18/064,B,1,46189,46187,46183
18/064,B,2,46189,46187,46188
18/064,C,1,46200,46187,46188
18/064,C,2,46200,46187,46189
18/064,D,1,46200,46187,46183
18/064,E,1,46183,46187,46188
18/065,A,1,46049,46050,46043
18/065,A,2,46049,46050,46054
18/065,A,3,46049,46050,46063
18/065,B,1,46054,46050,46043
18/065,B,2,46054,46050,46063
