controller_key,phase_ref,turn,saturn_a_node,saturn_b_node,saturn_c_node
01/001,A,1,12655,13048,13016
01/001,B,1,13048,12655,12637
01/001,B,2,13048,12655,13049
01/001,C,1,12805,12655,13048
01/001,C,2,12805,12655,12637
01/001,C,3,12805,12655,13049
01/002,A,1,13051,12652,13053
01/002,A,2,13051,12652,12806
01/002,A,3,13051,12652,12658
01/002,B,1,13053,12652,13051
01/002,C,1,12658,12652,13051
01/002,D,1,12658,12652,13051
01/002,D,2,12658,12652,12806
01/002,H,1,12652,13053,13052
01/002,I,1,12040,13053,13052
01/002,L,1,13052,13053,12652
01/005,A,1,13013,12659,13016
01/005,B,1,12659,13013,13045
01/005,C,1,12321,12659,13016
01/005,C,2,12321,12659,13013
01/005,D,1,12321,12659,13016
01/006,A,1,12116,13056,12812
01/006,B,1,12812,13056,12116
01/007,A,1,12651,12641,13947
01/007,B,1,13947,12641,12651
01/007,B,2,13947,12641,12097
01/007,C,1,12651,12641,12097
01/009,A,1,12465,13192,12656
01/009,B,1,13191,13192,12656
01/009,B,2,13191,13192,12465
01/009,C,1,12651,13192,12656
01/009,C,2,12651,13192,12465
01/009,G,1,13191,12651,12641
01/009,H,1,12641,12651,13192
01/009,I,1,12108,12651,13192
01/009,J,1,13191,12651,13031
01/010,C,1,13193,13190,13194
01/010,G,1,13194,13189,13191
01/010,K,1,13194,13189,12653
01/010,M,1,13192,12656,13035
01/011,A,1,12685,12941,13130
01/011,B,1,13130,12941,12685
01/012,A,1,12685,12908,12472
01/012,B,1,12472,12908,12685
01/012,C,1,12907,12908,12685
01/012,D,1,12907,12908,12472
01/012,G,1,12689,12907,12908
01/012,H,1,13997,12907,12908
01/016,A,1,12715,12717,13019
01/016,B,1,12894,12717,13019
01/016,I,1,12715,12717,12724
01/017,A,1,12795,12715,12717
01/017,B,1,12793,12715,12795
01/017,C,1,12793,12715,12717
01/019,A,1,12722,12719,12705
01/019,A,2,12722,12719,12712
01/019,B,1,12712,12719,12705
01/019,B,2,12712,12719,12722
01/019,C,1,12299,12719,12705
01/019,C,2,12299,12719,12722
01/019,C,3,12299,12719,12712
01/020,A,1,12809,12726,13005
01/020,A,2,12809,12726,12725
01/020,B,1,13005,12726,12809
01/020,C,1,13096,12726,12809
01/020,C,2,13096,12726,13005
01/020,C,3,13096,12726,12725
01/021,A,1,12736,12731,13003
01/021,A,2,12736,12731,13097
01/021,B,1,13003,12731,13097
01/021,B,2,13003,12731,12736
01/021,C,1,12733,12731,13003
01/021,C,2,12733,12731,13097
01/021,C,3,12733,12731,12736
01/022,A,1,13993,12716,13012
01/022,B,1,13019,12716,13012
01/024,A,1,12704,12707,13015
01/024,A,2,12704,12707,13383
01/024,B,1,12703,12707,13015
01/024,E,1,12704,12707,12703
01/025,A,1,12713,12706,13044
01/025,B,1,13044,12706,12704
01/025,C,1,12713,12706,12704
01/025,D,1,12709,12706,12704
01/025,E,1,12709,12706,13044
01/026,A,1,12719,12712,13132
01/026,A,2,12719,12712,12300
01/026,B,1,13132,12712,12300
01/026,B,2,13132,12712,12719
01/026,C,1,13131,12712,13132
01/026,C,2,13131,12712,12300
01/026,C,3,13131,12712,12719
01/027,A,1,12808,12725,12297
01/027,B,1,12733,12725,12297
01/027,C,1,12726,12725,12297
01/028,A,1,12295,12296,13292
01/028,A,2,12296,13336,13290
01/028,B,1,13292,12296,12295
01/030,A,1,12720,12713,12706
01/030,A,2,12720,12713,12709
01/030,B,1,13023,12713,12706
01/030,B,2,13023,12713,12709
01/030,C,1,12792,12713,12706
01/030,C,2,12792,12713,12709
01/031,A,1,12707,13015,12110
01/032,A,1,12707,12703,12699
01/032,B,1,12699,12703,12707
01/033,A,1,12025,12735,13292
01/033,A,2,12025,12735,12732
01/033,A,3,12025,12735,13332
01/033,B,1,12732,12735,12025
01/033,B,2,12732,12735,13292
01/033,B,3,12732,12735,13332
01/033,C,1,13292,12735,12025
01/033,C,2,13292,12735,12732
01/033,C,3,13292,12735,13332
01/033,D,1,13332,12735,12025
01/033,D,2,13332,12735,13292
01/033,D,3,13332,12735,12732
01/034,A,1,13167,12740,13332
01/034,A,2,13167,12740,12732
01/034,B,1,13332,12740,13167
01/034,B,2,13332,12740,12732
01/034,C,1,12732,12740,13332
01/034,C,2,12732,12740,13167
01/035,A,1,12826,12699,12703
01/035,A,2,12826,12699,12105
01/035,B,1,12703,12699,12826
01/035,B,2,12703,12699,12105
01/035,C,1,12670,12699,12703
01/035,C,2,12670,12699,12826
01/035,C,3,12670,12699,12105
01/036,A,1,12257,12619,12262
01/036,A,2,12257,12619,12616
01/036,B,1,12625,12619,12262
01/036,B,2,12625,12619,12616
01/036,D,1,12632,12625,12594
01/037,A,1,12265,12631,12973
01/037,B,1,12668,12632,12625
01/037,C,1,12617,12631,12973
01/037,C,2,12617,12631,12632
01/037,D,1,12631,12632,12625
01/038,A,1,12280,12665,12276
01/038,D,1,12668,12665,12276
01/038,J,1,13102,12668,12632
01/039,A,1,12993,12584,12597
01/039,A,2,12993,12584,13148
01/039,B,1,13148,12584,12597
01/039,B,2,13148,12584,12993
01/039,C,1,13148,12584,12597
01/039,D,1,12597,12584,13148
01/039,D,2,12597,12584,12993
01/040,A,1,12323,12566,12572
01/040,B,1,13148,12572,12590
01/040,B,2,13148,12572,12566
01/040,C,1,12323,12566,12592
01/040,D,1,13148,12572,12324
01/040,E,1,12566,12572,13148
01/040,E,2,12566,12572,12324
01/040,F,1,12572,12566,12592
01/040,F,2,12572,12566,12323
01/040,H,1,12324,12572,13148
01/040,H,2,12324,12572,12590
01/040,H,3,12324,12572,12566
01/043,A,1,12996,12603,12997
01/043,B,1,12997,12603,12996
01/043,C,1,12100,12603,12997
01/043,C,2,12100,12603,12996
01/044,A,1,14381,14288,13124
01/044,A,2,14381,14288,12417
01/044,B,1,12417,14288,14381
01/044,B,2,12417,14288,12422
01/044,B,3,12417,14288,13124
01/044,D,1,13124,14288,14381
01/044,D,2,13124,14288,12422
01/044,D,3,13124,14288,12417
01/044,M,1,14288,13124,12605
01/044,N,1,13124,14288,13124
01/046,A,1,13315,12009,12751
01/046,A,2,13315,12009,12746
01/046,A,3,13315,12009,13026
01/046,B,1,12746,12009,13315
01/046,B,2,12746,12009,12751
01/046,C,1,12751,12009,13315
01/046,C,2,12751,12009,12746
01/046,C,3,12751,12009,13026
01/046,D,1,13026,12009,13315
01/046,D,2,13026,12009,12751
01/046,D,3,13026,12009,12746
01/047,A,1,12745,12475,12212
01/047,A,2,12745,12475,12746
01/047,B,1,12746,12475,12745
01/047,B,2,12746,12475,12212
01/047,C,1,12212,12475,12745
01/047,C,2,12212,12475,12746
01/048,A,1,12111,12663,12673
01/048,B,1,12111,12663,12660
01/048,B,2,12111,12663,12673
01/048,C,1,12673,12663,12660
01/048,D,1,12673,12663,12111
01/048,E,1,12660,12663,12111
01/051,A,1,12818,12635,12815
01/051,A,2,12818,12635,13057
01/051,A,3,12818,12635,12630
01/052,A,1,13056,12812,12629
01/052,B,1,13008,12812,12629
01/052,B,2,13008,12812,13056
01/052,C,1,12629,12812,13056
01/053,A,1,12812,12629,13900
01/053,B,1,12812,12629,12624
01/053,C,1,13002,12629,13900
01/053,C,2,13002,12629,12624
01/053,D,1,13900,12629,12812
01/054,A,1,12999,13122,12780
01/054,A,2,12999,13122,12623
01/054,B,1,12623,13122,12780
01/054,B,2,12623,13122,12999
01/054,C,1,12101,13122,12780
01/054,C,2,12101,13122,12999
01/057,A,1,12096,12604,12355
01/057,A,2,12096,12604,12352
01/057,B,1,12352,12604,12355
01/057,B,2,12352,12604,12096
01/057,C,1,13960,12604,12355
01/057,C,2,13960,12604,12096
01/057,C,3,13960,12604,12352
01/058,A,1,12604,12352,12774
01/058,B,1,12774,12352,12604
01/058,C,1,13965,12352,12774
01/058,C,2,13965,12352,12604
01/058,D,1,12353,12352,12774
01/058,D,2,12353,12352,12604
01/059,A,1,13965,13960,13967
01/059,A,2,13965,13960,12604
01/061,A,1,12991,13969,12065
01/063,A,1,12657,12650,13196
01/063,A,2,12657,12650,13195
01/063,B,1,13195,12650,12657
01/063,C,1,12783,12650,13196
01/063,C,2,12783,12650,13195
01/063,D,1,12783,12650,12657
01/063,G,1,12650,13196,13197
01/063,H,1,13195,13196,13197
01/064,B,1,12719,12722,12797
01/064,C,1,12246,12722,12719
01/064,C,2,12246,12722,12797
01/064,D,1,12797,12722,12246
01/064,D,2,12797,12722,12719
01/065,A,1,12467,12690,12467
01/065,A,2,12467,12690,13127
01/065,B,1,13127,12690,12467
01/065,C,1,12690,12467,12473
01/065,C,2,12727,12690,13127
01/066,A,1,12673,12062,12692
01/066,B,1,13405,12062,12692
01/066,B,2,13405,12062,12673
01/066,C,1,12692,12062,13405
01/066,D,1,12692,12062,12673
01/067,A,1,12062,12692,12698
01/067,A,2,12062,12692,13032
01/067,B,1,12691,12692,13032
01/067,C,1,12691,12692,12062
01/067,D,1,12691,12692,12698
01/067,E,1,13032,12692,12062
01/067,F,1,13032,12692,12698
01/068,A,1,12791,12691,12692
01/068,B,1,12697,12691,12692
01/068,H,1,12697,12691,12791
