controller_key,phase_ref,turn,saturn_a_node,saturn_b_node,saturn_c_node
04/003,A,1,18209,18960,20337
04/003,A,2,18209,18960,18966
04/003,B,1,20337,18960,18209
04/003,B,2,20337,18960,18966
04/003,B,3,20337,18960,18209
04/003,C,1,18966,18960,20337
04/003,D,1,18966,18960,18967
04/003,E,1,18966,18960,18967
04/003,E,2,18966,18960,18209
04/003,E,3,18966,18960,18209
04/003,F,1,18967,18960,18209
04/003,F,2,18967,18960,18209
04/003,F,3,18967,18960,18966
04/005,A,1,18082,18031,16796
04/005,A,2,18082,18031,18586
04/005,B,1,16796,18031,18082
04/005,B,3,16796,18031,18586
04/005,C,1,18586,18031,18082
04/005,C,3,18586,18031,16796
04/006,A,1,18395,18176,18402
04/006,A,2,18395,18176,10111
04/006,A,3,18395,18176,18206
04/006,C,1,10111,18176,18402
04/006,C,2,10111,18176,18395
04/006,C,3,10111,18176,18206
04/007,A,1,18460,18175,72353
04/007,A,2,18460,18175,18461
04/007,A,3,18460,18175,72353
04/007,B,1,72353,18175,18609
04/007,B,2,72353,18175,18609
04/007,B,3,72353,18175,18460
04/007,B,4,72353,18175,18460
04/007,B,5,72353,18175,18461
04/007,B,6,72353,18175,18461
04/007,C,1,18461,18175,72353
04/007,C,2,18461,18175,18609
04/007,C,3,18461,18175,18609
04/007,D,1,18609,18175,18460
04/007,D,2,18609,18175,18461
04/007,D,3,18609,18175,72353
04/007,D,4,18609,18175,18461
04/007,D,5,18609,18175,72353
04/007,D,6,18609,18175,72353
04/007,E,1,18609,18175,72353
04/007,E,2,18609,18175,72353
04/009,A,1,18055,18056,18522
04/009,A,2,18055,18056,18522
04/009,A,3,18055,18056,18057
04/009,C,1,18057,18056,18522
04/009,C,2,18057,18056,18522
04/010,A,1,18519,18055,18056
04/010,A,2,18519,18055,18056
04/010,B,1,18057,18055,18056
04/010,B,2,18057,18055,18519
04/010,C,1,18058,18055,18056
04/010,C,2,18058,18055,18056
04/010,C,3,18058,18055,18519
04/012,A,1,18802,18065,18801
04/012,A,2,18802,18065,18071
04/012,A,3,18802,18065,18071
04/012,A,4,18802,18065,18152
04/012,B,1,18071,18065,18152
04/012,B,2,18071,18065,18802
04/012,C,1,18152,18065,18801
04/012,C,2,18152,18065,18802
04/012,D,1,18801,18065,18152
04/012,D,2,18801,18065,18071
04/013,A,1,16384,18032,18952
04/013,A,2,16384,18032,16314
04/013,A,3,16384,18032,18162
04/013,B,1,18952,18032,16314
04/013,B,2,18952,18032,16384
04/013,B,3,18952,18032,18162
04/013,C,1,18162,18032,16314
04/013,C,2,18162,18032,16384
04/013,D,1,16314,18032,18952
04/013,D,2,16314,18032,18162
04/014,A,1,18327,18052,18254
04/014,A,2,18327,18052,18053
04/014,B,1,18053,18052,18327
04/014,B,2,18053,18052,18327
04/014,B,3,18053,18052,18254
04/014,D,1,18254,18052,18053
04/014,D,2,18254,18052,18327
04/014,D,3,18254,18052,18327
04/014,E,1,18510,18052,18254
04/014,E,2,18510,18052,18053
04/015,A,1,18429,18114,18036
04/015,A,2,18429,18114,18036
04/015,A,3,18429,18114,18113
04/015,B,1,18036,18114,18113
04/015,B,2,18036,18114,18429
04/015,C,1,18113,18114,18036
04/015,C,2,18113,18114,18429
04/016,A,1,18344,18064,18343
04/016,A,2,18344,18064,18063
04/016,A,3,18344,18064,18343
04/016,A,4,18344,18064,18801
04/016,B,1,18343,18064,18801
04/016,B,2,18343,18064,18344
04/016,B,3,18343,18064,18344
04/016,B,4,18343,18064,18063
04/016,C,1,18063,18064,18801
04/016,C,2,18063,18064,18343
04/016,D,1,18801,18064,18343
04/016,D,2,18801,18064,18063
04/016,D,3,18801,18064,18344
04/017,A,1,18350,18043,18348
04/017,A,2,18350,18043,18348
04/017,A,3,18350,18043,18348
04/017,B,1,18348,18043,18348
04/017,B,2,18348,18043,18350
04/017,B,3,18348,18043,18350
04/017,C,1,18043,18348,18347
04/018,A,1,18033,18130,18089
04/018,A,2,18033,18130,18089
04/018,A,3,18033,18130,18075
04/018,B,1,18075,18130,18033
04/018,B,2,18075,18130,18089
04/018,B,3,18075,18130,18089
04/018,D,1,18033,18130,18089
04/018,D,2,18033,18130,18089
04/018,E,1,18089,18130,18075
04/018,F,1,18089,18130,18033
04/019,A,1,18147,18082,18031
04/019,A,2,18147,18082,18600
04/019,A,3,18147,18082,18083
04/019,B,1,18600,18082,18147
04/019,B,2,18600,18082,18083
04/019,B,3,18600,18082,18031
04/019,C,1,18083,18082,18147
04/019,C,2,18083,18082,18031
04/019,D,1,18031,18082,18600
04/019,D,2,18031,18082,18083
04/019,D,3,18031,18082,18147
04/021,A,1,18193,18094,18248
04/021,A,2,18193,18094,18093
04/021,B,1,18248,18094,18093
04/021,B,2,18248,18094,18193
04/021,B,3,18248,18094,18193
04/021,C,1,18093,18094,18193
04/021,C,2,18093,18094,18193
04/021,C,3,18093,18094,18248
04/021,D,1,18193,18094,18093
04/022,A,1,18074,18073,18072
04/022,A,2,18074,18073,18605
04/022,A,3,18074,18073,18072
04/022,B,1,18072,18073,18074
04/022,B,2,18072,18073,18074
04/022,B,3,18072,18073,18605
04/022,C,1,18605,18073,18072
04/022,C,2,18605,18073,18074
04/023,A,1,18166,18076,18068
04/023,A,2,18166,18076,18369
04/023,A,3,18166,18076,18369
04/023,A,4,18166,18076,18439
04/023,B,1,18369,18076,18166
04/023,B,2,18369,18076,18439
04/023,B,3,18369,18076,18068
04/023,C,1,18439,18076,18166
04/023,C,2,18439,18076,18166
04/023,D,1,18451,18076,18166
04/023,D,2,18451,18076,18166
04/023,E,1,18451,18076,18439
04/023,E,2,18451,18076,18369
04/023,E,3,18451,18076,18369
04/024,A,1,18065,18071,18085
04/024,A,2,18065,18071,18332
04/024,B,1,18065,18071,18449
04/024,C,1,18085,18071,18332
04/024,C,2,18085,18071,18065
04/024,D,1,18085,18071,18332
04/024,D,2,18085,18071,18065
04/024,D,3,18085,18071,18449
04/024,E,1,18449,18071,18085
04/024,F,1,18449,18071,18332
04/024,G,1,18332,18071,18065
04/024,G,2,18332,18071,18449
04/025,A,1,18314,18074,18073
04/025,A,2,18314,18074,18073
04/025,B,1,18073,18074,18314
04/025,C,1,18131,18074,18073
04/025,C,2,18131,18074,18073
04/025,D,1,18073,18074,18131
04/025,E,1,18314,18074,18131
04/026,A,1,18014,18121,18011
04/026,A,2,18014,18121,18011
04/026,A,3,18014,18121,72142
04/026,A,4,18014,18121,72142
04/026,B,1,72142,18121,18014
04/026,B,2,72142,18121,18014
04/026,B,3,72142,18121,18014
04/026,C,1,72142,18121,18119
04/026,C,2,72142,18121,18119
04/026,D,1,18011,18121,18119
04/026,D,2,18011,18121,18014
04/026,D,3,18011,18121,18014
04/026,D,4,18011,18121,18014
04/026,D,5,18011,18121,18119
04/026,E,1,18119,18121,18011
04/026,E,2,18119,18121,18011
04/026,E,3,18119,18121,72142
04/026,E,4,18119,18121,72142
04/026,F,1,18119,18121,18014
04/026,F,2,18119,18121,18014
04/026,F,3,18119,18121,18014
04/026,O,1,18011,18121,72142
04/026,O,2,18011,18121,72142
04/027,B,1,18607,18053,18516
04/027,D,1,18052,18053,18516
04/027,F,1,18516,18053,18607
04/027,J,1,18607,18053,18052
04/027,K,1,18052,18053,18607
04/027,N,1,18516,18053,18052
04/028,A,1,18252,18092,18266
04/028,A,2,18252,18092,18128
04/028,A,3,18252,18092,18086
04/028,B,1,18128,18092,18252
04/028,B,2,18128,18092,18086
04/028,B,3,18128,18092,18266
04/028,C,1,18086,18092,18266
04/028,C,2,18086,18092,18252
04/028,C,3,18086,18092,18128
04/028,D,1,18266,18092,18128
04/028,D,2,18266,18092,18086
04/028,D,3,18266,18092,18252
04/029,A,1,18157,18104,18458
04/029,A,2,18157,18104,18110
04/029,A,3,18157,18104,18110
04/029,B,1,18458,18104,18110
04/029,B,2,18458,18104,18110
04/030,A,1,18209,18237,18599
04/030,A,2,18209,18237,18599
04/030,B,1,18599,18237,18209
04/030,B,2,18599,18237,18209
04/030,C,1,18599,18237,18598
04/030,D,1,18245,18237,18598
04/030,D,2,18245,18237,18598
04/030,E,1,18245,18237,18599
04/030,E,2,18245,18237,18599
04/031,A,1,18398,18041,18500
04/031,A,2,18398,18041,18562
04/031,B,1,18500,18041,18398
04/031,B,2,18500,18041,18562
04/031,C,1,18500,18041,18562
04/031,D,1,18042,18041,18500
04/031,D,2,18042,18041,18562
04/031,D,3,18042,18041,18398
04/031,E,1,18562,18041,18500
04/031,E,2,18562,18041,18398
04/033,A,1,18370,18038,18178
04/033,A,2,18370,18038,18037
04/033,A,3,18370,18038,18508
04/033,A,4,18370,18038,18037
04/033,B,1,18037,18038,18508
04/033,B,2,18037,18038,18370
04/033,B,3,18037,18038,18178
04/033,C,1,18508,18038,18037
04/033,C,2,18508,18038,18037
04/033,D,1,18508,18038,18178
04/033,D,2,18508,18038,18370
04/033,D,3,18508,18038,18178
04/033,D,4,18508,18038,18037
04/033,D,5,18508,18038,18037
04/033,E,1,18178,18038,18508
04/033,F,1,18178,18038,18037
04/033,F,2,18178,18038,18037
04/034,A,1,18037,18465,18959
04/034,A,2,18037,18465,18959
04/034,A,3,18959,18465,18037
04/035,A,1,18555,18040,18981
04/035,A,2,18555,18040,18364
04/035,A,3,18555,18040,18555
04/035,A,4,18555,18040,18364
04/035,B,1,18364,18040,18555
04/035,B,2,18364,18040,18368
04/035,B,3,18364,18040,18981
04/035,B,4,18364,18040,18368
04/035,C,1,18981,18040,18555
04/035,C,2,18981,18040,18364
04/035,C,3,18981,18040,18368
04/035,D,1,18555,18040,18981
04/035,D,2,18555,18040,18364
04/035,D,3,18555,18040,18368
04/036,A,1,18596,18207,16807
04/036,A,2,18596,18207,16807
04/036,A,3,18596,18207,16807
04/036,B,1,16807,18207,18596
04/036,B,2,16807,18207,18596
04/037,A,1,18363,18045,18100
04/037,A,2,18363,18045,18980
04/037,A,3,18363,18045,18100
04/037,A,4,18363,18045,18506
04/037,B,1,18100,18045,18506
04/037,B,2,18100,18045,18363
04/037,B,3,18100,18045,18363
04/037,B,4,18100,18045,18980
04/037,C,1,18980,18045,18506
04/037,C,2,18980,18045,18363
04/037,D,1,18506,18045,18363
04/037,D,2,18506,18045,18980
04/038,A,1,18030,18109,18433
04/038,A,2,18030,18109,18460
04/038,A,3,18030,18109,18115
04/038,B,1,18460,18109,18115
04/038,B,2,18460,18109,18030
04/038,B,3,18460,18109,18433
04/038,C,1,18115,18109,18433
04/038,C,2,18115,18109,18030
04/038,C,3,18115,18109,18460
04/038,D,1,18433,18109,18115
04/038,D,2,18433,18109,18460
04/038,D,3,18433,18109,18030
04/039,A,1,16800,16805,18300
04/039,B,1,18300,16805,16806
04/039,B,2,18300,16805,16806
04/039,D,1,18407,16805,16806
04/039,D,2,18407,16805,16806
04/039,G,1,16800,16805,18407
04/039,I,1,16800,16805,16806
04/040,A,1,18169,18115,18109
04/040,A,2,18169,18115,18116
04/040,A,3,18169,18115,18172
04/040,B,1,18172,18115,18169
04/040,B,2,18172,18115,18109
04/040,B,3,18172,18115,18116
04/040,C,1,18109,18115,18169
04/040,C,2,18109,18115,18116
04/040,C,3,18109,18115,18172
04/040,D,1,18116,18115,18169
04/040,D,2,18116,18115,18109
04/040,D,3,18116,18115,18172
04/041,A,1,18445,18117,18805
04/041,A,2,18445,18117,18116
04/041,A,3,18445,18117,18805
04/041,B,1,18805,18117,18445
04/041,B,3,18805,18117,18445
04/041,B,4,18805,18117,18116
04/041,C,1,18116,18117,18805
04/041,C,3,18116,18117,18445
04/041,C,4,18116,18117,18445
04/042,A,1,18403,18129,18155
04/042,A,2,18403,18129,18155
04/042,B,1,18154,18129,18403
04/042,C,1,18154,18129,18155
04/042,C,2,18154,18129,18155
04/042,D,1,18158,18129,18403
04/042,D,2,18158,18129,18155
04/042,D,3,18158,18129,18155
04/043,A,1,18523,18067,18437
04/043,A,2,18523,18067,18437
04/043,B,1,18132,18067,18437
04/043,B,2,18132,18067,18437
04/043,B,3,18132,18067,18062
04/044,A,1,18464,18124,18508
04/044,A,2,18464,18124,18508
04/044,B,1,18232,18124,18508
04/044,B,2,18232,18124,18508
04/044,C,1,18508,18124,18232
04/045,B,1,18964,18957,18963
04/045,C,1,18964,18957,18970
04/045,D,1,18970,18957,18964
04/045,D,2,18970,18957,18964
04/045,D,3,18970,18957,18964
04/045,D,4,18970,18957,18964
04/045,E,1,18961,18957,18964
04/045,E,2,18961,18957,18964
04/045,E,3,18961,18957,18964
04/045,E,4,18961,18957,18964
04/045,E,5,18961,18957,18970
04/046,A,1,18585,18070,18135
04/046,A,2,18585,18070,16430
04/046,A,3,18585,18070,18135
04/046,A,4,18585,18070,18427
04/046,B,1,18135,18070,18427
04/046,B,2,18135,18070,18585
04/046,D,1,18427,18070,18585
04/046,D,2,18427,18070,16430
04/047,A,1,18608,18120,18001
04/047,A,2,18608,18120,18609
04/047,A,3,18608,18120,18609
04/047,B,1,18609,18120,18608
04/047,B,2,18609,18120,18608
04/047,B,3,18609,18120,18608
04/047,B,4,18609,18120,18001
04/047,C,1,18001,18120,18609
04/047,C,2,18001,18120,18609
04/047,C,3,18001,18120,18608
04/047,C,4,18001,18120,18608
04/048,B,1,18422,18089,18130
04/048,B,2,18422,18089,18130
04/048,C,2,18130,18089,18422
04/049,A,1,18072,18603,18604
04/049,A,2,18604,18603,18072
04/051,A,1,18305,18087,18088
04/051,A,2,18305,18087,18371
04/051,A,3,18305,18087,18308
04/051,B,1,18371,18087,18088
04/051,B,2,18371,18087,18305
04/051,B,3,18371,18087,18308
04/051,B,4,18371,18087,18025
04/051,B,5,18371,18087,18305
04/051,C,1,18088,18087,18305
04/051,C,2,18088,18087,18308
04/051,C,3,18088,18087,18025
04/051,C,4,18088,18087,18305
04/051,D,1,18025,18087,18088
04/051,D,2,18025,18087,18371
04/051,E,1,18025,18087,18308
04/051,F,1,18308,18087,18025
04/051,F,2,18308,18087,18305
04/051,F,3,18308,18087,18371
04/051,F,4,18308,18087,18088
04/053,A,1,18101,18046,18017
04/053,A,2,18101,18046,18349
04/053,A,3,18101,18046,18506
04/053,B,1,18349,18046,18101
04/053,B,2,18349,18046,18017
04/053,B,3,18349,18046,18506
04/053,C,1,18017,18046,18101
04/053,C,2,18017,18046,18506
04/053,C,3,18017,18046,18349
04/053,D,1,18506,18046,18101
04/053,D,2,18506,18046,18017
04/053,D,3,18506,18046,18349
04/056,A,1,18066,18148,18315
04/056,C,1,18315,18148,18066
04/056,C,2,18315,18148,18066
04/058,A,1,18135,18447,18448
04/058,A,2,18448,18447,18135
04/060,A,1,18167,18136,20432
04/060,A,2,18136,18077,18068
04/060,A,3,18136,18077,18166
04/060,D,2,18166,18077,18068
04/061,A,2,18249,18096,18088
04/061,B,1,18088,18096,18249
04/061,E,1,18249,18096,18088
04/064,A,1,18121,72142,72032
04/064,A,2,18121,72142,72032
04/064,A,3,72032,72142,18121
04/064,A,4,72032,72142,18121
04/065,A,1,18180,18017,18046
04/065,A,2,18180,18017,20184
04/065,B,1,20184,18017,18180
04/065,B,2,20184,18017,18046
04/065,E,1,18046,18017,20184
04/065,E,2,18046,18017,18180
04/066,A,1,16422,18951,16424
04/066,A,2,16422,18951,16080
04/066,A,3,16422,18951,18590
04/066,A,4,16422,18951,16424
04/066,B,1,16424,18951,18590
04/066,B,2,16424,18951,16422
04/066,B,3,16424,18951,16080
04/066,C,1,18590,18951,16424
04/066,C,2,18590,18951,16080
04/066,C,3,18590,18951,16422
04/066,D,1,16080,18951,18590
04/066,D,2,16080,18951,16424
04/068,A,1,18197,18806,18142
04/068,A,2,18142,18806,18197
04/069,B,1,18165,18167,18136
04/069,B,2,18165,18167,18136
04/069,C,1,18079,18078,20870
04/069,C,2,18079,18078,18167
04/069,C,3,18079,18078,18167
04/069,D,1,18078,18167,18136
04/069,D,2,18078,18167,18136
04/069,F,1,18167,18078,18079
04/069,F,2,18167,18078,18079
04/069,F,3,18167,18078,20870
04/071,A,1,16030,16383,16032
04/071,B,1,16032,16383,18589
04/071,B,2,16032,16383,16030
04/071,C,1,18589,16383,16032
04/071,C,2,18589,16383,16030
04/074,A,1,18256,18090,18453
04/074,A,2,18453,18090,18256
04/078,A,1,18091,18452,18453
04/078,A,2,18453,18452,18091
04/080,A,1,18444,18123,18118
04/080,C,1,18118,18123,18444
04/084,A,1,18048,18330,18329
04/084,A,2,18048,18330,18329
04/084,B,1,18329,18330,18048
04/084,C,1,18048,18330,18048
04/084,C,2,18048,18330,18048
04/084,C,3,18048,18330,18329
04/084,C,4,18048,18330,18329
04/084,D,1,18048,18330,18048
04/084,D,2,18048,18330,18048
04/084,D,3,18048,18330,18329
04/084,D,4,18048,18330,18329
04/087,A,1,18053,18607,18066
04/087,A,2,18066,18607,18053
04/090,A,1,18956,18954,16148
04/090,B,1,16148,18954,18956
04/090,D,1,16363,18954,18956
04/090,D,2,16363,18954,16148
04/091,A,1,18956,18396,18500
04/091,A,2,18500,18396,18956
04/093,A,1,18147,18448,18447
04/093,A,2,18447,18448,18147
04/095,B,1,18130,18075,18132
04/095,B,2,18130,18075,18369
04/095,C,1,18369,18075,18132
04/095,C,2,18369,18075,18130
04/097,A,1,18454,18160,19046
04/097,A,2,18454,18160,18159
04/097,B,1,19046,18160,18454
04/097,B,2,19046,18160,18159
04/097,C,1,18159,18160,19046
04/097,C,2,18159,18160,18454
04/098,A,1,18279,18159,18160
04/098,A,2,18279,18159,19020
04/098,B,1,19020,18159,18279
04/098,B,2,19020,18159,18160
04/098,C,1,18160,18159,18279
04/098,C,2,18160,18159,19020
04/099,A,1,18175,18461,18367
04/099,A,2,18367,18461,18175
04/101,A,1,18087,18088,18096
04/101,A,2,18096,18088,18087
04/103,A,1,16384,18181,16147
04/103,A,2,16384,18181,16392
04/103,A,3,16384,18181,18161
04/103,B,1,16147,18181,16384
04/103,B,2,16147,18181,16392
04/103,B,3,16147,18181,18161
04/103,C,1,16392,18181,16147
04/103,C,2,16392,18181,16384
04/103,C,3,16392,18181,18161
04/103,D,1,18161,18181,16147
04/103,D,2,18161,18181,16384
04/103,D,3,18161,18181,16392
04/111,A,1,18076,18369,18075
04/111,B,1,18075,18369,18076
04/111,C,1,18532,18369,18075
04/114,A,1,18065,18801,18064
04/114,A,2,18064,18801,18065
04/117,B,1,18417,18107,18192
04/117,B,2,18417,18107,18192
04/117,B,3,18417,18107,18192
04/117,B,4,18417,18107,18192
04/117,E,1,18194,18107,18417
04/117,E,2,18194,18107,18417
04/117,G,1,18107,18192,18193
04/117,G,2,18107,18192,18193
04/117,G,3,18107,18192,18193
04/117,G,4,18107,18192,18193
04/117,H,1,18455,18192,18193
04/117,H,2,18455,18192,18193
04/117,H,3,18455,18192,18193
04/117,H,4,18455,18192,18193
04/117,J,1,18107,18192,18455
04/117,J,2,18107,18192,18455
04/121,A,1,18192,18193,18194
04/121,A,2,18192,18193,18194
04/121,A,3,18192,18193,18194
04/121,B,1,18094,18193,18194
04/121,B,2,18094,18193,18194
04/121,B,3,18094,18193,18194
04/121,D,1,18192,18193,18094
04/121,D,2,18192,18193,18094
04/121,F,1,18193,18194,18107
04/121,F,2,18193,18194,18107
04/121,F,3,18193,18194,18107
04/121,G,1,18418,18194,18107
04/121,G,2,18418,18194,18107
04/121,G,3,18418,18194,18107
04/121,G,4,18418,18194,18107
04/121,I,1,18193,18194,18418
04/125,A,1,18242,18226,16807
04/125,A,2,18242,18226,16807
04/125,A,3,16807,18226,18242
04/125,A,4,16807,18226,18242
04/125,A,5,16807,18226,18242
04/128,A,1,18230,18232,18124
04/128,B,1,18124,18232,18230
04/134,A,1,18170,16804,16812
04/134,A,2,18170,16804,18200
04/134,B,1,18200,16804,16812
04/134,B,2,18200,16804,18170
04/134,C,1,16812,16804,18200
04/134,C,2,16812,16804,18170
04/141,A,1,18131,18033,18130
04/141,A,2,18131,18033,18130
04/141,B,1,18130,18033,18131
04/141,B,2,18130,18033,18131
04/142,A,1,18357,18153,18355
04/142,A,2,18357,18153,18399
04/142,A,3,18357,18153,18355
04/142,B,1,18355,18153,18357
04/142,B,2,18355,18153,18357
04/142,B,3,18355,18153,18399
04/142,C,1,18399,18153,18355
04/142,C,2,18399,18153,18357
04/143,A,1,18602,18157,18104
04/143,A,2,18602,18157,18104
04/143,A,3,18602,18157,18104
04/143,B,1,18158,18157,18104
04/143,B,2,18158,18157,18104
04/143,B,3,18158,18157,18104
04/144,A,1,18105,18158,18198
04/144,A,2,18105,18158,18129
04/144,A,3,18105,18158,18129
04/144,A,4,18105,18158,18157
04/144,B,1,18198,18158,18129
04/145,A,1,18141,18110,18111
04/145,A,2,18141,18110,18111
04/145,B,1,18104,18110,18111
04/145,B,2,18104,18110,18111
04/145,E,1,18104,18110,18141
04/151,A,1,18141,18445,18117
04/151,A,2,18141,18445,18117
04/151,A,3,18117,18445,18141
04/151,A,4,18117,18445,18141
04/159,A,1,18175,18460,18109
04/159,B,1,18109,18460,18175
04/161,A,1,18972,18099,18163
04/161,A,2,18972,18099,18163
04/161,B,2,36011,18099,18972
04/161,B,3,36011,18099,18972
04/161,B,4,36011,18099,18972
04/161,C,1,36011,18099,18163
04/161,C,2,36011,18099,18163
04/162,A,5,18137,18972,18099
04/162,A,6,18137,18972,18099
04/162,A,7,18137,18972,18099
04/162,A,8,18137,18972,18099
04/163,A,1,36116,18971,19047
04/163,A,2,36116,18971,19047
04/163,A,3,36116,18971,19047
04/163,B,1,36116,18971,36010
04/163,B,2,36116,18971,36010
04/163,C,1,19047,18971,36010
04/163,C,2,19047,18971,36010
04/163,G,1,19047,18971,36116
04/163,G,2,19047,18971,36116
04/165,B,1,18154,18127,18236
04/165,B,2,18154,18127,18236
04/166,A,1,18039,18441,18454
04/166,A,2,18454,18441,18039
04/177,A,1,18145,18086,18548
04/177,A,2,18145,18086,18092
04/177,A,3,18145,18086,18804
04/177,B,1,18092,18086,18804
04/177,B,2,18092,18086,18145
04/177,B,3,18092,18086,18548
04/177,C,1,18548,18086,18804
04/177,C,2,18548,18086,18145
04/177,C,3,18548,18086,18092
04/177,D,1,18804,18086,18548
04/177,D,2,18804,18086,18145
04/177,D,3,18804,18086,18092
04/178,A,2,18181,18161,18044
04/178,A,3,18181,18161,18399
04/178,B,2,18399,18161,18181
04/178,B,3,18399,18161,18044
04/178,C,1,18063,18161,18181
04/178,C,2,18063,18161,18044
04/178,C,3,18063,18161,18399
04/178,D,2,18044,18161,18181
04/178,D,3,18044,18161,18399
04/181,A,1,18110,18111,18262
04/181,A,2,18110,18111,18105
04/181,A,3,18110,18111,18105
04/183,A,2,18065,18802,18049
04/183,C,2,18049,18802,18065
04/185,A,2,18280,18079,18078
04/185,A,3,18280,18079,18078
04/185,B,2,18078,18079,18280
04/190,A,1,18248,18803,18095
04/190,A,2,18095,18803,18248
04/191,A,1,18308,18604,18603
04/191,A,2,18603,18604,18308
04/195,A,1,18598,18464,18124
04/195,A,2,18598,18464,18124
04/196,A,1,18963,18969,18959
04/196,A,2,18465,18959,18962
04/196,A,3,18465,18959,18962
04/197,A,1,18960,18209,18245
04/197,A,2,18960,18209,18237
04/197,A,3,18960,18209,18237
04/197,B,1,18237,18209,18960
04/197,D,1,18237,18209,18961
04/201,A,1,18380,18382,18225
04/202,A,1,18505,18378,18125
04/202,A,2,18505,18378,18125
04/202,A,3,18125,18378,18505
04/209,A,1,18123,18118,18429
04/209,A,2,18123,18118,18257
04/209,B,1,18257,18118,18123
04/209,B,2,18257,18118,18257
04/209,C,1,18257,18118,18123
04/209,C,2,18257,18118,18429
04/211,A,1,18086,18804,18024
04/211,A,2,18024,18804,18086
04/212,A,1,18444,18122,18457
04/212,B,1,18457,18122,18444
04/216,A,1,18087,18371,18024
04/216,A,2,18087,18371,18093
04/216,A,3,18087,18371,18093
04/216,B,1,18093,18371,18087
04/216,B,2,18093,18371,18024
04/216,B,3,18093,18371,18093
04/216,C,1,18024,18371,18087
04/216,C,2,18024,18371,18093
04/216,C,3,18024,18371,18093
04/216,D,1,18093,18371,18024
04/216,D,2,18093,18371,18087
04/216,D,3,18093,18371,18093
04/219,A,1,18103,18459,18408
04/219,A,2,18408,18459,18103
04/221,A,1,18104,18458,18227
04/221,A,2,18227,18458,18104
04/224,A,1,18253,18177,20196
04/224,A,2,18253,18177,18349
04/224,B,1,18349,18177,20196
04/224,B,2,18349,18177,18253
04/224,D,1,20196,18177,18349
04/224,D,2,20196,18177,18253
04/228,A,1,18130,18033,18131
04/228,A,2,18131,18033,18130
04/235,A,1,18070,18585,18069
04/235,A,2,18069,18585,18070
04/235,C,1,18069,18585,18070
04/237,F,1,19032,18099,18163
04/241,A,1,19032,19026,19007
04/241,A,2,19032,19026,19007
04/241,A,3,19032,19026,19056
04/241,B,1,19007,19026,19032
04/241,B,2,19007,19026,19056
04/241,B,3,19007,19026,19032
04/241,D,1,19056,19026,19032
04/241,D,2,19056,19026,19032
04/241,D,3,19056,19026,19007
04/242,A,1,19033,19023,19015
04/242,A,2,19033,19023,19015
04/242,B,2,19015,19023,19033
04/242,B,3,19015,19023,19033
04/242,C,1,19033,19023,19015
04/242,C,2,19033,19023,19015
04/248,A,1,36115,36116,18971
04/248,A,2,36115,36116,18971
04/248,A,3,18971,36116,36115
04/248,A,4,18971,36116,36115
04/261,A,1,18108,18098,18420
04/261,A,2,18108,18098,18026
04/261,A,3,18108,18098,18097
04/261,B,1,18026,18098,18420
04/261,B,2,18026,18098,18108
