controller_key,phase_ref,turn,saturn_a_node,saturn_b_node,saturn_c_node
06/001,A,1,22663,24612,24194
06/001,A,2,22663,24612,24213
06/001,A,3,22663,24612,22080
06/001,B,1,24213,24612,22663
06/001,B,2,24213,24612,22080
06/001,C,1,24194,24612,22663
06/001,C,2,24194,24612,22080
06/001,D,1,22080,24612,22663
06/001,D,2,22080,24612,24194
06/001,D,3,22080,24612,24213
06/003,A,1,22632,22091,22098
06/003,A,2,22632,22091,22538
06/003,A,3,22632,22091,22629
06/003,B,1,22098,22091,22538
06/003,B,2,22098,22091,22632
06/003,B,3,22098,22091,22629
06/003,C,1,22629,22091,22098
06/003,C,2,22629,22091,22538
06/003,C,3,22629,22091,22632
06/003,D,1,22538,22091,22098
06/003,D,2,22538,22091,22632
06/003,D,3,22538,22091,22629
06/004,A,1,22205,22204,22639
06/004,A,2,22205,22204,22640
06/004,B,1,22640,22204,22639
06/004,B,2,22640,22204,22205
06/004,C,1,22639,22204,22640
06/004,C,2,22639,22204,22205
06/005,A,1,22399,22189,22397
06/005,A,2,22399,22189,22401
06/005,A,3,22399,22189,22175
06/005,B,1,22397,22189,22401
06/005,B,2,22397,22189,22175
06/005,B,3,22397,22189,22399
06/005,C,1,22401,22189,22397
06/005,C,2,22401,22189,22175
06/005,C,3,22401,22189,22399
06/005,D,1,22175,22189,22397
06/005,D,2,22175,22189,22401
06/005,D,3,22175,22189,22399
06/006,A,1,22180,22158,22155
06/006,A,2,22180,22158,22165
06/006,A,3,22180,22158,22152
06/006,B,1,22155,22158,22165
06/006,B,2,22155,22158,22152
06/006,B,3,22155,22158,22180
06/006,C,1,22152,22158,22155
06/006,C,2,22152,22158,22165
06/006,C,3,22152,22158,22180
06/006,D,1,22165,22158,22155
06/006,D,2,22165,22158,22152
06/006,D,3,22165,22158,22180
06/006,E,1,22152,22158,22155
06/007,A,1,22473,22138,22470
06/007,A,2,22473,22138,22466
06/007,A,3,22473,22138,22463
06/007,B,1,22467,22138,22470
06/007,B,2,22467,22138,22474
06/007,B,3,22467,22138,22463
06/007,C,1,22470,22138,22466
06/007,C,2,22470,22138,22474
06/007,C,3,22470,22138,22463
06/007,D,1,22463,22138,22470
06/007,D,2,22463,22138,22466
06/007,D,3,22463,22138,22474
06/007,E,1,22470,22138,22466
06/008,A,1,22273,22064,22079
06/008,A,2,22273,22064,22646
06/008,A,3,22273,22064,22556
06/008,B,1,22646,22064,22079
06/008,B,2,22646,22064,22273
06/008,B,3,22646,22064,22556
06/008,C,1,22079,22064,22273
06/008,C,2,22079,22064,22646
06/008,C,3,22079,22064,22556
06/008,D,1,22556,22064,22079
06/008,D,2,22556,22064,22273
06/008,D,3,22556,22064,22646
06/009,A,1,22031,22035,22039
06/009,A,2,22031,22035,22560
06/009,B,1,22560,22035,22016
