controller_key,phase_ref,turn,saturn_a_node,saturn_b_node,saturn_c_node
51/110,A,1,86268,86261,86249
51/110,B,1,86264,86261,86249
51/110,C,1,86261,86249,86246
51/120,A,1,86249,86256,86269
51/120,B,1,86241,86256,86269
51/120,C,1,86256,86268,86261
51/120,D,1,86273,86268,86261
51/210,A,1,86132,86135,86141
51/210,B,1,86136,86135,86141
51/210,E,1,86128,86132,86135
51/210,F,1,86127,86132,86135
51/220,A,1,86129,86125,86124
51/220,B,1,86154,86125,86124
51/220,E,1,86135,86129,86125
51/220,F,1,86139,86129,86125
51/230,A,1,86124,86126,86128
51/230,B,1,86019,86126,86128
51/230,C,1,86125,86124,86126
51/230,D,1,86117,86124,86126
51/310,A,1,84584,84581,84582
51/310,B,1,85103,84581,84582
51/320,A,1,84582,84586,84583
51/320,B,1,84860,84586,84583
51/320,C,1,84586,84583,84584
51/320,D,1,85115,84583,84584
51/320,E,1,84586,84583,84584
51/410,C,1,84814,84810,84811
51/410,C,2,84814,84810,84812
51/410,D,1,84809,84810,84811
51/410,D,2,84809,84810,84812
51/410,E,1,84809,84810,84811
51/420,A,1,84810,84812,84815
51/420,B,1,85098,84812,84815
51/420,C,1,84812,84815,84813
51/420,D,1,84422,84815,84813
51/620,B,1,84917,85604,85605
51/640,B,1,85025,85600,85601
51/650,A,1,85029,84916,84918
51/710,A,1,85384,84898,84899
51/710,B,1,84898,84888,84894
51/710,C,1,84890,84888,84894
51/720,A,1,84874,84900,84901
51/720,B,1,84874,84900,84897
51/720,C,1,84894,84897,84890
51/810,A,1,82329,84192,85761
51/810,B,1,84462,84192,85761
51/810,C,1,82330,85761,84164
51/810,D,1,84192,85761,84164
51/820,A,1,84461,84163,84945
51/820,B,1,84164,84163,84945
51/820,C,1,84107,84945,84462
51/820,D,1,84163,84945,84462
51/910,A,1,84038,62994,82341
51/910,B,1,62994,82341,82327
51/910,D,1,62994,82341,82327
51/920,A,1,62962,62996,62998
51/920,B,1,82327,62996,62998
51/920,D,1,62996,62998,62997
52/110,A,1,86316,86312,86314
52/110,B,1,86304,86312,86314
52/120,A,1,86314,86321,86316
52/120,B,1,86328,86321,86316
52/210,A,1,78797,78798,78258
52/210,B,1,78269,78798,78258
52/210,C,1,78258,78836,78713
52/210,D,1,78268,78836,78713
52/210,E,1,78836,78898,78795
52/210,F,1,78713,78898,78795
52/210,I,1,78795,78796,78797
52/210,J,1,78666,78796,78797
52/310,A,1,74302,74303,74307
52/310,B,1,75032,74303,74307
52/310,E,1,74307,74308,74304
52/310,F,1,74299,74308,74304
52/320,A,1,74304,74233,79204
52/320,B,1,75031,74233,79204
52/320,D,1,78287,79204,74302
52/450,A,1,40237,40235,40236
52/450,B,1,40512,40235,40236
52/460,C,1,40241,40238,40237
52/460,D,1,80182,40238,40237
52/510,A,1,40211,40213,80143
52/510,B,1,40215,40213,80143
52/520,A,1,40213,40212,40209
52/520,B,1,80143,40212,40209
52/620,A,1,88631,88633,88637
52/630,A,1,88633,88637,88634
52/630,B,1,88646,88637,88634
52/640,A,1,88637,88634,88627
52/710,A,1,78133,78679,78320
52/710,B,1,78058,78679,78320
52/710,E,1,78058,78679,78133
52/810,A,1,84041,84042,85123
52/810,B,1,85118,84042,85123
52/810,C,1,85123,85124,84039
52/810,E,1,85124,84039,84040
52/810,F,1,84302,84039,84040
52/820,A,1,84039,84040,85121
52/820,B,1,84062,84040,85121
52/820,C,1,85121,85122,84041
52/820,E,1,85122,84041,84042
52/820,F,1,84305,84041,84042
53/110,A,1,345164,345162,345161
53/110,B,1,345165,345162,345161
53/110,C,1,345161,345160,345159
53/110,D,1,345162,345160,345159
53/110,F,1,345160,345159,345170
53/110,G,1,345170,345166,345165
53/110,H,1,345170,345166,345165
53/110,I,1,78879,345165,345162
53/110,J,1,345166,345165,345162
53/210,A,1,85993,85994,84674
53/210,B,1,85609,85994,84674
53/210,D,1,85995,85610,84674
53/310,A,1,84051,84143,84049
53/310,B,1,84049,84143,84051
53/330,C,1,84111,84110,84051
53/410,A,1,84103,85000,84978
53/410,B,1,84978,85000,84103
53/610,C,1,62999,62971,62970
53/610,D,1,84046,62971,62970
53/710,A,1,84768,84763,51142
53/710,B,1,51142,84763,51142
53/710,B,2,51142,84763,84768
53/710,C,1,84768,84763,51142
53/710,D,1,51142,84763,51142
53/710,D,2,51142,84763,84768
53/810,A,1,84515,84768,84763
53/810,A,2,84515,84768,84770
53/810,C,1,84763,84768,84515
53/810,C,2,84763,84768,84770
53/810,F,1,84770,84768,84763
53/810,F,2,84770,84768,84515
53/910,A,1,76947,76880,76883
53/910,B,1,76947,76880,76872
53/910,C,1,76880,76872,76886
53/910,D,1,76872,76880,76883
53/910,E,1,76883,76872,76880
53/910,E,2,76883,76872,76886
53/910,F,1,76886,76872,76880
53/920,A,1,76885,76882,76881
53/920,A,2,76885,76882,76871
53/920,B,1,76882,76871,76879
53/920,C,1,76879,76871,76882
53/920,D,1,76871,76882,76881
53/920,E,1,76881,76871,76882
53/920,E,2,76881,76871,76879
54/110,A,1,88613,88615,88612
54/110,B,1,88627,88615,88612
54/110,D,1,88629,88616,88612
54/120,A,1,88612,88607,88605
54/120,C,1,88607,88605,88609
54/120,E,1,88604,88609,88611
54/120,F,1,88605,88609,88611
